ID,test,problem,obstacle_H,vitesse,pneumatique,mtixsens_1_ES_horiz,mtixsens_1_ES_vert,mtixsens_1_ES_norm,mtixsens_1_ES_angl,mtixsens_1_VDV_horiz,mtixsens_1_VDV_vert,mtixsens_1_VDV_norm,mtixsens_1_VDV_angl,mtixsens_2_ES_horiz,mtixsens_2_ES_vert,mtixsens_2_ES_norm,mtixsens_2_ES_angl,mtixsens_2_VDV_horiz,mtixsens_2_VDV_vert,mtixsens_2_VDV_norm,mtixsens_2_VDV_angl,mtixsens_3_ES_horiz,mtixsens_3_ES_vert,mtixsens_3_ES_norm,mtixsens_3_ES_angl,mtixsens_3_VDV_horiz,mtixsens_3_VDV_vert,mtixsens_3_VDV_norm,mtixsens_3_VDV_angl,mtixsens_4_ES_horiz,mtixsens_4_ES_vert,mtixsens_4_ES_norm,mtixsens_4_ES_angl,mtixsens_4_VDV_horiz,mtixsens_4_VDV_vert,mtixsens_4_VDV_norm,mtixsens_4_VDV_angl,mtixsens_5_ES_horiz,mtixsens_5_ES_vert,mtixsens_5_ES_norm,mtixsens_5_ES_angl,mtixsens_5_VDV_horiz,mtixsens_5_VDV_vert,mtixsens_5_VDV_norm,mtixsens_5_VDV_angl,xsensor_seat_ES_vert,xsensor_seat_VDV_vert,xsensor_seat_std_fwd,xsensor_seat_std_lat,xsensor_seat_range_fwd,xsensor_seat_range_lat
0,0,,1,1,1,0.47048432242224736,0.6032609243227737,0.7650354504595773,37.950735006485964,0.7149448355774395,0.9987670161127258,1.2282840349013617,35.59612680533668,1.5517550249480068,1.1554133273343898,1.9346636954347687,53.329187723387996,1.4271662112514907,1.15587447747676,1.8365318407858078,50.99568272275993,0.6898385614569169,1.1974438711711617,1.3819367082027767,29.945926516069335,0.9239920895513793,1.3860000018249488,1.6657603028684176,33.68984109929568,3.3347055277942967,32.89777247648491,33.066352911557544,5.788056362767263,2.1181038278570856,4.1771867337841435,4.6835086030117505,26.887956047794003,1.611198490728892,1.6522360852841562,2.3077791614541834,44.27954521825252,1.413466714261793,1.3001578637112814,1.9204943693997938,47.39102706246178,4166.8381909601385,75.78512695701048,0.14249881103951664,0.12782165369864948,1.0999999999999996,0.9899999999999984
1,1,,1,1,1,0.9237745633109438,0.4027345555133506,1.007747272893785,66.44442197279591,0.9525136422884747,0.7475634078584892,1.2108399099446028,51.8740342483506,2.652295057664748,0.9084544899721276,2.8035617762523746,71.09282822762991,1.6301339687422145,1.050165777829534,1.9391196242036108,57.20953414319523,1.1298471384859574,0.953200024782562,1.4782235431728121,49.84721451317002,1.053799775911018,1.1205175315502889,1.5381981362040666,43.242461318263054,5.2186139985042175,40.80973897438763,41.14205545695349,7.2872444759142585,2.410239030606655,4.650738494277101,5.2381886875914025,27.395388928656715,2.8436345896626283,1.4331601627641235,3.1843689691459804,63.25240470094484,1.730218008400216,1.2526649252452342,2.136076724167945,54.095742139769676,3887.137090380433,70.69937015307912,0.14703657092025935,0.19767709023377192,0.9900000000000002,1.3300000000000018
2,2,,1,1,1,0.6480777662617527,0.40761962165903265,0.7656099183554742,57.831456029419826,0.8671638770654276,0.7579525965583249,1.1517227653895927,48.8446175022851,2.384197173739002,0.9179385344834852,2.554800836925402,68.94282093709535,1.6123425653235213,1.0489930095787852,1.923547473315694,56.951898813726636,0.9500094189337785,0.9241994818920888,1.325391481183013,45.788976613200894,1.022459187656729,1.1067739937956187,1.5067751868696146,42.73234799846722,4.957634108547597,40.41126349172667,40.714227893354376,6.994070492444651,2.392796659546255,4.62579863195712,5.208021585722555,27.351265261626406,2.6325885080904925,1.4052091447971,2.9841472808076217,61.907828372877155,1.7161287257120492,1.234641390839384,2.1141043416037606,54.267475280818154,3634.5599026086975,67.0617238886401,0.13673688804729658,0.2055235311171521,0.9699999999999989,1.4400000000000013
3,3,,1,1,1,0.8509674259147382,0.40364170638645347,0.9418450971908934,64.62348341154718,0.933492994071296,0.7450793388978963,1.1943836867743627,51.40443615405071,2.6103477060014875,0.9689024717532881,2.7843647652555976,69.63620453998165,1.6345921117902593,1.0998632309924232,1.970175245711922,56.064688052908146,1.0382678523217694,1.0467907462799004,1.47437139136043,44.765798844377194,1.0221220526281996,1.1816713154539829,1.5623957847599406,40.85914990117761,5.2684425337690834,42.1524455089634,42.48040900365433,7.124195737739014,2.418802997850821,4.730496784254556,5.313022470143977,27.081620585283126,2.8238568764412015,1.500320018361367,3.1976753769136903,62.01821452811216,1.7455648080692616,1.2984367166860586,2.175530833246992,53.35632026278473,4731.369903985508,79.78297468306259,0.13725799540107678,0.1869069394946664,0.9000000000000004,1.2099999999999973
4,4,,1,1,1,0.816392199493135,0.5506361236722731,0.9847316203342237,56.00132014471259,0.9228113155866886,0.9229829810260065,1.3051736694549458,44.99467128858787,2.3777853071166826,1.0714780845902738,2.6080506614130825,65.74271085839808,1.6267612580682889,1.195413229988152,2.0187533235099893,53.689974780984656,0.9916877112466419,1.3598720372032234,1.6830616370783478,36.10142937646054,1.0419123569120836,1.4061015023629269,1.7500579403075125,36.53821280196522,5.073176805100988,41.30864901528617,41.619005350487626,7.001520098111198,2.4868316174784724,4.684806466772155,5.303936568700723,27.960663523791258,2.503493568887854,1.5596722091613857,2.9495859793356085,58.077164425818786,1.6615710931523253,1.33389375332215,2.1307489393993055,51.242828648683485,6020.673778333335,97.79850905186726,0.14504773040995647,0.10522030325557212,1.0399999999999991,0.9799999999999969
5,5,,1,1,1,0.9962314144352279,0.6816820809561116,1.2071319275888073,55.61769426887857,0.9997800582798394,1.0166553484926515,1.4258850804159335,44.5205101377915,2.44428392728839,1.2884053372186204,2.7630621111682925,62.20585841290049,1.6478122128308514,1.2897716796584244,2.0925573049270167,51.94908672168794,1.1682848198330036,1.6331791447686168,2.008024785494289,35.57780619320088,1.1109154229757516,1.540693017820207,1.899438878238868,35.79345730096708,5.429344003100398,44.12307271667983,44.455858132145174,7.014982058156852,2.5496336196852507,4.863805447241239,5.49156034504246,27.663775990960495,2.42173874640882,1.8318582697105683,3.0365314548288085,52.89530996983686,1.6288122753869962,1.4565023393512717,2.1850465654047495,48.19655792170435,5733.462688206526,92.04740454313097,0.14833647699483704,0.08740208131022452,1.2199999999999989,0.8399999999999999
6,6,,1,1,1,0.4126468926012622,0.580745130235154,0.7124200757034599,35.39559533858674,0.7280862402334817,0.9552808214507265,1.2011124098305295,37.31355693952324,1.9675993379661183,1.1771585907952196,2.2928474660665272,59.109119764373155,1.611615319935739,1.2309678362463434,2.0279511220255233,52.62704837817033,0.6332644140118342,1.41872236765721,1.5536399114803376,24.05419120460166,0.9351031093587417,1.4323588529162228,1.7105758412475796,33.13816417418022,4.932266640470937,42.249853879323055,42.53677711154022,6.658595296364533,2.5245103901291865,4.7524939787364975,5.381389386375686,27.97710460571361,2.0399441694874767,1.7452797022015845,2.6846551833602024,49.45126911443601,1.633980527917227,1.4017868869521117,2.1528815206702743,49.37380794164618,5234.095099655795,91.22990606842757,0.1404813228040182,0.08515840491944711,1.209999999999999,1.0199999999999996
7,7,,1,1,1,0.8125077050428917,0.5798160224572392,0.9981760318962786,54.487854299218405,0.9311420594338404,0.9918393193976253,1.3604303621831726,43.192108038789215,2.279314902818029,1.1080383797512998,2.5343688518465988,64.07432423660359,1.6159632804602453,1.1876436552301148,2.0054512648289875,53.68617061118635,0.98033560046159,1.2814270856024936,1.613416643414864,37.417226266228035,1.0454203208289807,1.4039520368043388,1.7504242253948672,36.672357684926844,5.0387442680993795,40.63732925105862,40.94852222557303,7.0681999839804455,2.512481462963468,4.647674326867317,5.2833171162023405,28.3951666164085,2.4897436252977783,1.5673750621758333,2.942021057919474,57.8082426857359,1.6499121468906515,1.3429454724431789,2.1273722369188124,50.85614465781209,5380.117081956523,92.05965641184706,0.14971360290877914,0.14152954785660574,1.2200000000000006,1.1799999999999997
8,8,,1,1,1,0.5970195577187828,0.5511749139547053,0.8125430069059162,47.28646815265945,0.7948709988590591,0.9793661789002637,1.2613397707203644,39.06339813364251,2.314596604871092,0.9716903682727582,2.510286759530639,67.2268578211147,1.6708721616046032,1.1343919455994782,2.019568980417903,55.826552523972026,0.8112740860598606,1.0957110327740234,1.3633592006712607,36.51657273227877,0.9774963806443014,1.378968532052414,1.690282043495552,35.33132303429073,5.195251027750932,41.47362766328134,41.79775621721628,7.140043260558049,2.5667793446033054,4.676931205667319,5.33498282156812,28.758728580777866,2.4822702482742747,1.4325061460449628,2.865962219556326,60.01096372168831,1.6979048902061675,1.3090605331316052,2.1439497418523645,52.36828760701157,5238.144324293479,93.00476671030677,0.14680103196648636,0.18124394201141486,1.25,1.2300000000000004
9,9,,1,1,1,0.8654300099553119,0.6705250840432091,1.0947935834952651,52.231892892192135,0.9509826020040619,0.9957648645401347,1.3769225013656536,43.682221375392004,2.2919045683579755,1.2794138672633235,2.6248288314108885,60.82835880410912,1.6336898262775255,1.2739351789312243,2.0716788574972766,52.05324655511024,1.0001418224761949,1.622917546977674,1.9063433660686722,31.643935096452214,1.0550781564696938,1.50367867010373,1.8369103024329767,35.05598155304232,5.112891133160735,42.85164859504067,43.155595732794666,6.804141356663423,2.5184668526951506,4.7967830955848045,5.417730461568973,27.700930981131055,2.407947417401297,1.858446933319543,3.0417159250880728,52.33914275328113,1.6639249486811238,1.4615485663015684,2.214671634012964,48.704766066524165,5173.087038695659,88.44378389147018,0.1489480320395588,0.07468931949569321,1.1899999999999995,0.6499999999999986
