// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.4.0
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw
07148	1.547782	-0.314259	9.654276	0.000000	0.000000	-0.030079	1.000000	-0.000065	0.000013	0.000017	-1.860539	-9.104238	39.234299
07149	1.557450	-0.330678	9.683615	0.000571	-0.002101	0.000946	1.000000	-0.000049	0.000018	0.000031	-1.947257	-9.135948	40.513689
07150	1.556525	-0.338254	9.660114	0.007670	-0.005694	-0.022135	1.000000	-0.000048	0.000009	0.000024	-1.953196	-9.134767	40.516460
07151	1.547568	-0.310918	9.677820	-0.019760	0.009135	-0.007008	1.000000	-0.000050	0.000016	0.000016	-1.960139	-9.132752	40.518177
07152	1.578525	-0.331487	9.657056	0.019239	0.015896	-0.021889	1.000000	-0.000057	0.000013	0.000008	-1.966844	-9.131186	40.519094
07153	1.545624	-0.326080	9.630833	-0.005562	0.001942	-0.053170	1.000000	-0.000044	0.000025	0.000014	-1.972053	-9.128322	40.520632
07154	1.546441	-0.313949	9.677902	-0.019760	0.009129	-0.007008	1.000000	-0.000051	0.000022	0.000007	-1.978033	-9.125748	40.521347
07155	1.559336	-0.284148	9.669051	-0.028332	0.041662	-0.014714	1.000000	-0.000033	0.000010	0.000008	-1.981877	-9.124538	40.522198
07156	1.567646	-0.313417	9.651376	-0.000992	0.026975	-0.029842	1.000000	-0.000060	0.000029	0.000014	-1.989011	-9.121127	40.523727
07157	1.544580	-0.323376	9.654488	-0.012623	0.005476	-0.030089	1.000000	-0.000051	0.000023	0.000015	-1.994790	-9.118470	40.525278
07158	1.579959	-0.284914	9.642589	-0.009547	0.059468	-0.037548	1.000000	-0.000050	0.000016	0.000016	-2.000748	-9.116592	40.527019
07159	1.557055	-0.294707	9.645680	-0.021162	0.037922	-0.037794	1.000000	-0.000042	0.000019	0.000030	-2.005486	-9.114428	40.530380
07160	1.565949	-0.317488	9.651518	-0.000921	0.026828	-0.029841	1.000000	-0.000051	0.000024	0.000022	-2.011724	-9.111551	40.532871
07161	1.546977	-0.275140	9.639938	-0.041342	0.048864	-0.045746	1.000000	-0.000071	0.000006	0.000033	-2.019490	-9.111003	40.536570
07162	1.556013	-0.297980	9.645748	-0.021101	0.037770	-0.037794	1.000000	-0.000027	0.000022	0.000029	-2.023081	-9.108340	40.539900
07163	1.583431	-0.364180	9.663190	0.039748	0.004249	-0.013936	1.000000	-0.000045	0.000034	0.000029	-2.027176	-9.104653	40.542834
07164	1.577484	-0.290928	9.642815	-0.009318	0.058982	-0.037545	1.000000	-0.000049	0.000018	0.000031	-2.033391	-9.102471	40.546352
07165	1.563959	-0.322522	9.651674	-0.000650	0.026136	-0.029840	1.000000	-0.000040	0.000011	0.000024	-2.036761	-9.101897	40.548788
07166	1.564208	-0.316903	9.675227	-0.007748	0.029728	-0.006758	1.000000	-0.000043	0.000027	0.000030	-2.042251	-9.098707	40.552104
07167	1.550546	-0.348514	9.684097	0.000929	-0.003178	0.000945	1.000000	-0.000050	0.000016	0.000016	-2.046220	-9.097781	40.553528
07168	1.553390	-0.303379	9.646002	-0.020797	0.036871	-0.037790	1.000000	-0.000028	0.000029	0.000021	-2.049830	-9.094421	40.555829
07169	1.571718	-0.347796	9.657593	0.019799	0.014278	-0.021887	1.000000	-0.000046	0.000002	0.000025	-2.053369	-9.095111	40.558374
07170	1.575976	-0.289907	9.666521	-0.016124	0.061508	-0.014456	1.000000	-0.000060	0.000027	-0.000001	-2.060242	-9.092002	40.558119
07171	1.552769	-0.299703	9.669638	-0.027683	0.039576	-0.014704	1.000000	-0.000039	0.000040	0.000004	-2.062212	-9.088805	40.558003
07172	1.565511	-0.269956	9.660874	-0.036266	0.072120	-0.022403	1.000000	-0.000048	0.000011	0.000032	-2.068277	-9.087471	40.561658
07173	1.553166	-0.288648	9.716766	-0.041685	0.046155	0.031464	1.000000	-0.000051	0.000024	0.000022	-2.071093	-9.085995	40.563571
07174	1.551458	-0.302758	9.669753	-0.027491	0.038981	-0.014701	1.000000	-0.000059	0.000022	0.000015	-2.078075	-9.083428	40.565231
07175	1.537982	-0.334555	9.678559	-0.018569	0.005688	-0.007003	1.000000	-0.000054	0.000001	0.000026	-2.080066	-9.084580	40.567596
07176	1.574156	-0.289685	9.690257	-0.022588	0.063268	0.008639	1.000000	-0.000051	0.000024	0.000022	-2.086296	-9.081694	40.570082
07177	1.527447	-0.321256	9.649288	-0.031364	0.012380	-0.038031	1.000000	-0.000041	0.000010	0.000016	-2.086183	-9.082066	40.571123
07178	1.550269	-0.307112	9.669807	-0.026799	0.037413	-0.014693	1.000000	-0.000075	0.000026	0.000015	-2.095060	-9.078966	40.572768
07179	1.549955	-0.308288	9.669820	-0.026402	0.036661	-0.014689	1.000000	-0.000039	0.000005	0.000032	-2.095201	-9.079403	40.575672
07180	1.541128	-0.280819	9.687584	-0.053739	0.051344	0.000452	1.000000	-0.000041	0.000009	0.000008	-2.100012	-9.078346	40.576593
07181	1.558169	-0.338268	9.652071	0.001551	0.021128	-0.029828	1.000000	-0.000044	0.000025	0.000014	-2.099010	-9.075960	40.577459
07182	1.562240	-0.280218	9.661111	-0.034366	0.068358	-0.022369	1.000000	-0.000043	0.000026	0.000022	-2.104373	-9.072885	40.579877
07183	1.570963	-0.302963	9.666937	-0.013479	0.056275	-0.014421	1.000000	-0.000045	0.000033	0.000021	-2.102964	-9.069866	40.581397
07184	1.569789	-0.310417	9.643463	-0.006380	0.052703	-0.037507	1.000000	-0.000051	0.000023	0.000015	-2.109064	-9.067087	40.582985
07185	1.547987	-0.307260	9.693593	-0.031660	0.037417	0.008413	1.000000	-0.000044	0.000025	0.000014	-2.107682	-9.065453	40.583603
07186	1.547073	-0.314596	9.670078	-0.024561	0.033849	-0.014674	1.000000	-0.000039	0.000004	0.000032	-2.112716	-9.064736	40.587321
07187	1.568680	-0.313269	9.643551	-0.005176	0.050437	-0.037494	1.000000	-0.000060	0.000029	0.000014	-2.111593	-9.063401	40.587622
07188	1.537635	-0.288377	9.687917	-0.051250	0.047239	0.000486	1.000000	-0.000040	0.000012	0.000031	-2.116773	-9.061844	40.591203
07189	1.546709	-0.311148	9.693673	-0.030404	0.034810	0.008426	1.000000	-0.000048	0.000009	0.000024	-2.114442	-9.063051	40.592468
07190	1.568377	-0.309816	9.667139	-0.011651	0.052694	-0.014399	1.000000	-0.000049	0.000018	0.000031	-2.120649	-9.060820	40.595973
07191	1.545541	-0.319650	9.670157	-0.022728	0.030098	-0.014657	1.000000	-0.000048	0.000008	0.000016	-2.119039	-9.061575	40.596346
07192	1.567896	-0.311763	9.667155	-0.011062	0.051548	-0.014392	1.000000	-0.000040	0.000012	0.000031	-2.124209	-9.060037	40.599929
07193	1.567627	-0.312864	9.667163	-0.010438	0.050219	-0.014384	1.000000	-0.000065	0.000014	0.000024	-2.123638	-9.060629	40.601076
07194	1.544130	-0.329218	9.646642	-0.015005	0.025205	-0.037742	1.000000	-0.000042	0.000017	0.000015	-2.128678	-9.058561	40.602744
