// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.4.0
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw
17006	9.533893	0.284295	-2.414611	-0.000000	-0.000000	0.026331	1.000000	-0.000015	0.000019	0.000047	173.275726	-75.692241	173.916249
17007	9.546385	0.313563	-2.402578	-0.004513	0.014627	0.036371	1.000000	-0.000022	0.000013	0.000041	172.904198	-75.724575	173.809870
17008	9.576540	0.331114	-2.378712	-0.030043	0.038381	0.060289	1.000000	-0.000005	0.000014	0.000022	172.912579	-75.726487	173.800587
17009	9.550542	0.298635	-2.421748	0.010000	-0.003180	0.044634	1.000000	-0.000015	0.000019	0.000047	172.930495	-75.729143	173.780486
17010	9.564377	0.299923	-2.389665	-0.022767	0.006148	0.050233	1.000000	-0.000012	0.000027	0.000018	172.935490	-75.732493	173.773939
17011	9.533142	0.309562	-2.432669	0.028234	0.005277	0.030771	1.000000	-0.000010	0.000026	0.000036	172.948869	-75.735941	173.758947
17012	9.581015	0.315215	-2.396736	-0.015526	0.020571	0.068552	1.000000	-0.000009	0.000021	0.000020	172.955567	-75.738571	173.751023
17013	9.533388	0.308496	-2.431839	0.028232	0.005264	0.030771	1.000000	-0.000015	0.000019	0.000047	172.973718	-75.741355	173.730511
17014	9.551184	0.295896	-2.419551	0.010003	-0.003195	0.044634	1.000000	-0.000009	0.000023	0.000028	172.983789	-75.744381	173.719021
17015	9.564967	0.297198	-2.387643	-0.022789	0.006119	0.050233	1.000000	-0.000018	0.000004	0.000035	172.996801	-75.745207	173.703482
17016	9.543390	0.322363	-2.379587	-0.019098	0.032366	0.028107	1.000000	-0.000013	0.000014	0.000031	173.008540	-75.747196	173.689776
17017	9.548739	0.279801	-2.379168	-0.030018	-0.008348	0.031914	1.000000	-0.000022	0.000013	0.000041	173.022644	-75.749339	173.672611
17018	9.581605	0.311462	-2.394869	-0.015544	0.020502	0.068552	1.000000	0.000018	0.000024	0.000044	173.042959	-75.752656	173.653763
17019	9.547705	0.306404	-2.398253	-0.004503	0.014484	0.036371	1.000000	-0.000010	0.000026	0.000036	173.055325	-75.756387	173.639754
17020	9.561544	0.307704	-2.366100	-0.037271	0.023813	0.041970	1.000000	-0.000020	0.000027	0.000027	173.063696	-75.759814	173.628766
17021	9.547965	0.305292	-2.397360	-0.004413	0.014394	0.036371	1.000000	-0.000004	0.000012	0.000040	173.078672	-75.762369	173.612773
17022	9.548080	0.304601	-2.396991	-0.004413	0.014394	0.036371	1.000000	-0.000010	0.000026	0.000036	173.092154	-75.765783	173.597681
17023	9.548209	0.303938	-2.396559	-0.004315	0.014273	0.036371	1.000000	-0.000007	0.000019	0.000038	173.104748	-75.769120	173.583724
17024	9.548300	0.303294	-2.396278	-0.004315	0.014273	0.036371	1.000000	-0.000003	0.000010	0.000032	173.118249	-75.770697	173.569455
17025	9.564815	0.318924	-2.403865	0.003027	0.028545	0.054691	1.000000	-0.000006	0.000035	0.000032	173.126786	-75.775850	173.559753
17026	9.561000	0.332064	-2.383583	-0.011511	0.046333	0.046429	1.000000	-0.000007	0.000019	0.000038	173.141983	-75.778540	173.543272
17027	9.570304	0.275568	-2.402879	-0.007785	-0.012375	0.058496	1.000000	-0.000030	0.000013	0.000050	173.154960	-75.781509	173.526017
17028	9.548800	0.300583	-2.394627	-0.004095	0.013874	0.036372	1.000000	-0.000010	0.000026	0.000036	173.168481	-75.784919	173.510886
17029	9.565332	0.316170	-2.402173	0.003261	0.028059	0.054692	1.000000	-0.000017	0.000023	0.000037	173.176680	-75.788849	173.500022
17030	9.535363	0.297454	-2.425462	0.028790	0.004308	0.030770	1.000000	-0.000004	0.000012	0.000040	173.193593	-75.790813	173.482148
17031	9.531505	0.310440	-2.405374	0.014315	0.021816	0.022510	1.000000	-0.000008	0.000022	0.000046	173.205759	-75.794443	173.468327
17032	9.565682	0.313952	-2.401069	0.003324	0.027778	0.054693	1.000000	-0.000017	0.000023	0.000037	173.219264	-75.797533	173.452340
17033	9.531768	0.309047	-2.404512	0.014363	0.021473	0.022510	1.000000	0.000001	0.000022	0.000036	173.226573	-75.801045	173.444408
17034	9.569901	0.298813	-2.420000	0.017912	0.009645	0.062953	1.000000	-0.000007	0.000019	0.000038	173.241812	-75.803729	173.427887
17035	9.549619	0.295775	-2.391961	-0.003888	0.012613	0.036374	1.000000	-0.000028	0.000008	0.000034	173.244081	-75.805204	173.421866
17036	9.566094	0.311352	-2.399768	0.003349	0.027033	0.054695	1.000000	-0.000004	0.000012	0.000040	173.260996	-75.807161	173.404002
17037	9.566185	0.310599	-2.399501	0.003373	0.026603	0.054696	1.000000	0.000004	0.000015	0.000039	173.267892	-75.809865	173.396914
17038	9.553863	0.279918	-2.410858	0.010674	-0.005609	0.044632	1.000000	-0.000010	0.000026	0.000036	173.281427	-75.813270	173.381787
17039	9.548791	0.321296	-2.410589	0.021598	0.034669	0.040836	1.000000	-0.000006	0.000017	0.000030	173.284017	-75.815811	173.377586
17040	9.580201	0.310496	-2.366724	-0.029396	0.035532	0.060301	1.000000	-0.000014	0.000016	0.000039	173.299231	-75.818185	173.360224
17041	9.552988	0.306243	-2.429598	0.036124	0.016378	0.049094	1.000000	-0.000003	0.000029	0.000034	173.301030	-75.822150	173.357219
17042	9.532748	0.303151	-2.401373	0.014349	0.019748	0.022514	1.000000	-0.000007	0.000019	0.000038	173.316300	-75.824839	173.340672
17043	9.570902	0.292919	-2.416761	0.017761	0.007383	0.062956	1.000000	0.000005	0.000032	0.000033	173.317134	-75.828434	173.339487
17044	9.549470	0.317901	-2.408349	0.021452	0.033638	0.040839	1.000000	-0.000026	0.000025	0.000055	173.337446	-75.831990	173.315441
17045	9.550806	0.288981	-2.388046	-0.004219	0.010237	0.036376	1.000000	-0.000006	0.000017	0.000030	173.336559	-75.833438	173.314263
17046	9.550896	0.288443	-2.387752	-0.004219	0.010238	0.036376	1.000000	-0.000013	0.000014	0.000031	173.348439	-75.835407	173.300411
17047	9.571394	0.290280	-2.415131	0.017412	0.006287	0.062957	1.000000	-0.000010	0.000026	0.000036	173.348064	-75.838358	173.299017
17048	9.551137	0.287196	-2.386937	-0.004364	0.009663	0.036377	1.000000	-0.000007	0.000019	0.000038	173.363371	-75.841029	173.282427
17049	9.533618	0.298469	-2.398504	0.013756	0.017602	0.022519	1.000000	0.000004	0.000015	0.000039	173.367644	-75.843030	173.277669
17050	9.550150	0.313942	-2.406172	0.020994	0.032017	0.040846	1.000000	-0.000007	0.000019	0.000038	173.382963	-75.845705	173.261066
17051	9.567888	0.301396	-2.393878	0.002522	0.022994	0.054705	1.000000	-0.000035	0.000021	0.000030	173.377589	-75.847459	173.261441
17052	9.516321	0.308520	-2.409362	0.031744	0.025515	0.008663	1.000000	0.000006	0.000011	0.000049	173.399731	-75.849383	173.239343
17053	9.566900	0.328078	-2.413164	0.027631	0.045304	0.059180	1.000000	-0.000007	0.000019	0.000038	173.400606	-75.850371	173.236284
17054	9.568193	0.299266	-2.392925	0.002161	0.022425	0.054707	1.000000	-0.000006	0.000017	0.000030	173.412558	-75.852627	173.223226
17055	9.550716	0.310640	-2.404353	0.020034	0.030241	0.040853	1.000000	-0.000021	0.000032	0.000043	173.411476	-75.855193	173.220866
17056	9.538404	0.279998	-2.415565	0.027330	-0.001963	0.030775	1.000000	-0.000010	0.000026	0.000036	173.425159	-75.858548	173.205557
