// Start Time: Unknown													
// Update Rate: 100.0Hz													
// Filter Profile: human (46.1)													
// Firmware Version: 4.4.0													
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw
21029	9.515046	0.086501	-2.593305	-0.006302	-0.017073	0.049791	1.000000	-0.000023	0.000039	0.000022	177.687565	-74.721422	173.273055
21030	9.508597	0.119539	-2.588521	-0.003994	0.015998	0.042660	1.000000	-0.000007	0.000012	0.000047	177.691836	-74.720240	173.268896
21031	9.498899	0.102827	-2.617317	0.023174	-0.005066	0.040710	1.000000	-0.000011	0.000012	0.000040	177.692930	-74.718959	173.267545
21032	9.499293	0.077525	-2.562440	-0.033195	-0.021647	0.026373	1.000000	-0.000009	0.000029	0.000035	177.691823	-74.719583	173.268702
21033	9.487821	0.114858	-2.599436	0.010883	0.009191	0.025443	1.000000	-0.000010	0.000020	0.000038	177.691899	-74.719265	173.268519
21034	9.483223	0.093756	-2.586185	-0.003713	-0.009633	0.017295	1.000000	-0.000015	0.000035	0.000055	177.698451	-74.720664	173.261086
21035	9.504471	0.095603	-2.573658	-0.020823	-0.005166	0.034513	1.000000	-0.000014	0.000020	0.000031	177.695212	-74.720260	173.263868
21036	9.519044	0.131224	-2.557199	-0.035076	0.032956	0.044613	1.000000	0.000008	-0.000004	0.000033	177.695639	-74.717141	173.265504
21037	9.499587	0.098628	-2.614979	0.019837	-0.008577	0.040715	1.000000	-0.000019	0.000034	0.000048	177.698997	-74.718484	173.260986
21038	9.520834	0.100544	-2.602453	0.002721	-0.004122	0.057932	1.000000	-0.000014	0.000020	0.000031	177.695628	-74.718073	173.263914
21039	9.493547	0.106381	-2.555239	-0.034217	0.007915	0.019239	1.000000	-0.000002	0.000026	0.000032	177.694119	-74.718415	173.266324
21040	9.488665	0.110115	-2.596558	0.006994	0.005093	0.025449	1.000000	-0.000010	0.000020	0.000038	177.694053	-74.718091	173.266298
21041	9.500106	0.096038	-2.613191	0.017613	-0.010919	0.040717	1.000000	-0.000006	0.000021	0.000044	177.697420	-74.717864	173.263182
21042	9.514772	0.131611	-2.596434	0.003348	0.027197	0.050828	1.000000	-0.000006	0.000026	0.000025	177.692488	-74.718099	173.268631
21043	9.516673	0.077114	-2.587628	-0.014091	-0.025291	0.049766	1.000000	-0.000018	0.000014	0.000043	177.694109	-74.717151	173.265980
21044	9.500467	0.094071	-2.611950	0.015945	-0.012678	0.040718	1.000000	-0.000005	0.000029	0.000042	177.696309	-74.717861	173.264180
21045	9.500550	0.093476	-2.611670	0.015396	-0.013262	0.040718	1.000000	-0.000013	0.000000	0.000026	177.691302	-74.715215	173.269009
21046	9.489300	0.106311	-2.594396	0.003666	0.001582	0.025452	1.000000	-0.000002	0.000026	0.000032	177.689674	-74.715537	173.271503
21047	9.521870	0.094854	-2.598875	-0.002282	-0.009405	0.057929	1.000000	-0.000005	0.000029	0.000042	177.692011	-74.716277	173.269598
21048	9.510704	0.107498	-2.581301	-0.014013	0.005439	0.042663	1.000000	-0.000009	0.000029	0.000035	177.690910	-74.716900	173.270751
21049	9.489767	0.104234	-2.592771	0.002007	-0.000170	0.025453	1.000000	-0.000005	0.000029	0.000042	177.693250	-74.717642	173.268848
21050	9.496438	0.069827	-2.596623	-0.001398	-0.034430	0.032539	1.000000	0.000001	0.000018	0.000041	177.695962	-74.717103	173.267206
21051	9.511102	0.105217	-2.579927	-0.015677	0.003683	0.042661	1.000000	-0.000006	0.000021	0.000044	177.699348	-74.716879	173.264057
21052	9.522559	0.091227	-2.596481	-0.005064	-0.012343	0.057924	1.000000	-0.000013	0.000028	0.000028	177.694946	-74.717414	173.268163
21053	9.501608	0.088070	-2.608007	0.010953	-0.017947	0.040716	1.000000	0.000008	0.000024	0.000036	177.696196	-74.717516	173.268961
21054	9.522848	0.090018	-2.595460	-0.006181	-0.013518	0.057922	1.000000	-0.000020	0.000031	0.000032	177.692320	-74.718352	173.271727
21055	9.527809	0.109725	-2.607584	0.007276	0.004134	0.066109	1.000000	-0.000016	0.000031	0.000038	177.691856	-74.719276	173.271448
21056	9.506875	0.106547	-2.619065	0.023296	-0.001470	0.048904	1.000000	-0.000002	0.000026	0.000032	177.690230	-74.719597	173.273939
21057	9.518492	0.067919	-2.581187	-0.021865	-0.033516	0.049727	1.000000	-0.000003	0.000018	0.000034	177.689760	-74.718986	173.275161
