// Start Time: Unknown													
// Update Rate: 100.0Hz													
// Filter Profile: human (46.1)													
// Firmware Version: 4.4.0													
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw
21029	9.899943	-0.303039	0.586109	0.050286	0.001599	0.109091	1.000000	0.000039	0.000024	0.000028	-25.756550	-85.919655	22.701896
21030	9.906560	-0.289373	0.625797	0.011821	0.017509	0.117813	1.000000	0.000015	0.000022	0.000043	-25.766212	-85.919871	22.710065
21031	9.906511	-0.290110	0.626234	0.011264	0.016796	0.117815	1.000000	0.000031	0.000021	0.000035	-25.762542	-85.920570	22.706710
21032	9.907837	-0.323325	0.638355	-0.002514	-0.015658	0.120944	1.000000	0.000028	0.000026	0.000044	-25.769424	-85.920321	22.713580
21033	9.884511	-0.296137	0.617398	0.018294	0.009787	0.095491	1.000000	0.000028	0.000026	0.000044	-25.774627	-85.919946	22.718852
21034	9.907711	-0.324874	0.639532	-0.003632	-0.017081	0.120941	1.000000	0.000038	0.000037	0.000033	-25.757831	-85.919130	22.703109
21035	9.906266	-0.293010	0.628750	0.009040	0.013955	0.117822	1.000000	0.000013	0.000049	0.000032	-25.731658	-85.916950	22.674871
21036	9.922806	-0.336026	0.611621	0.024998	-0.029543	0.134552	1.000000	0.000036	0.000009	0.000037	-25.740196	-85.918823	22.684285
21037	9.906161	-0.294442	0.629741	0.007914	0.012532	0.117825	1.000000	0.000021	0.000030	0.000046	-25.746181	-85.917958	22.689606
21038	9.906098	-0.295249	0.630347	0.007343	0.011826	0.117826	1.000000	0.000017	0.000030	0.000038	-25.744206	-85.917613	22.686278
21039	9.900736	-0.342814	0.603424	0.031440	-0.037271	0.112222	1.000000	0.000030	0.000034	0.000039	-25.738430	-85.916831	22.680987
21040	9.882732	-0.268755	0.610082	0.027575	0.036565	0.092398	1.000000	0.000028	0.000026	0.000044	-25.745334	-85.916584	22.687880
21041	9.898968	-0.308846	0.652709	-0.015855	-0.000654	0.112570	1.000000	0.000030	0.000034	0.000039	-25.740265	-85.915811	22.683114
21042	9.905854	-0.298192	0.632788	0.005055	0.008981	0.117830	1.000000	0.000039	0.000024	0.000028	-25.725541	-85.916564	22.669544
21043	9.914094	-0.320120	0.624378	0.012744	-0.013121	0.126188	1.000000	0.000007	0.000019	0.000049	-25.747572	-85.916723	22.688837
