// Start Time: Unknown													
// Update Rate: 100.0Hz													
// Filter Profile: human (46.1)													
// Firmware Version: 4.4.0													
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw
21029	2.530754	-0.073176	12.864605	0.001935	0.030588	3.298651	1.000000	-0.000004	0.000038	-0.000086	-0.190828	-11.148126	-176.817376
21030	2.549447	-0.052497	12.884259	-0.011537	0.009065	3.321480	1.000000	-0.000003	0.000062	-0.000058	-0.191080	-11.146331	-176.816237
21031	2.539655	-0.042672	12.852419	-0.007818	-0.000416	3.288316	1.000000	0.000005	0.000050	-0.000061	-0.190369	-11.145893	-176.815366
21032	2.516505	-0.052523	12.855336	0.014931	0.010815	3.286735	1.000000	-0.000002	0.000039	-0.000073	-0.190133	-11.146763	-176.815948
21033	2.547787	-0.061678	12.862902	-0.014653	0.018348	3.300234	1.000000	-0.000002	0.000047	-0.000068	-0.190071	-11.146770	-176.815942
21034	2.525692	-0.021963	12.843092	0.005203	-0.020182	3.276399	1.000000	0.000002	0.000057	-0.000069	-0.189462	-11.145602	-176.816084
21035	2.532768	-0.031273	12.875471	0.003957	-0.011125	3.309565	1.000000	-0.000015	0.000041	-0.000069	-0.190822	-11.146225	-176.816229
21036	2.542047	-0.050655	12.885729	-0.004119	0.007838	3.321485	1.000000	0.000010	0.000045	-0.000072	-0.189210	-11.146448	-176.816681
21037	2.532707	-0.040840	12.853796	-0.000402	-0.001633	3.288318	1.000000	-0.000014	0.000034	-0.000074	-0.190378	-11.147970	-176.817389
21038	2.561748	-0.039819	12.883507	-0.023148	-0.004017	3.323078	1.000000	0.000006	0.000067	-0.000070	-0.189235	-11.145651	-176.817665
21039	2.540292	-0.059944	12.864392	-0.007236	0.017126	3.300242	1.000000	-0.000010	0.000051	-0.000070	-0.190016	-11.145194	-176.817984
