// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.4.0
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw
02853	9.881589	-0.372893	0.673158	-0.000000	-0.000000	0.098821	1.000000	0.000041	0.000030	0.000035	-28.974997	-85.549503	25.060940
02854	9.877572	-0.347783	0.696454	0.000000	-0.000000	0.095513	1.000000	0.000028	0.000030	0.000034	-26.525153	-85.496216	22.643252
02855	9.895983	-0.356751	0.683326	0.002422	0.003722	0.113272	1.000000	0.000028	0.000018	0.000035	-27.763522	-85.522627	23.868176
02856	9.921035	-0.380712	0.688295	-0.001817	-0.018372	0.139463	1.000000	0.000037	0.000026	0.000039	-27.792103	-85.517843	23.901071
02857	9.895855	-0.358211	0.684424	0.002491	0.003937	0.113272	1.000000	0.000032	0.000035	0.000043	-27.832315	-85.511137	23.943150
02858	9.895792	-0.359038	0.684894	0.002491	0.003937	0.113272	1.000000	0.000032	0.000010	0.000045	-27.879967	-85.507688	23.994663
02859	9.899687	-0.385402	0.662648	0.023605	-0.023648	0.116579	1.000000	0.000016	0.000030	0.000020	-27.852133	-85.504752	23.972823
02860	9.895668	-0.360327	0.686013	0.002480	0.003460	0.113272	1.000000	0.000036	0.000040	0.000052	-27.887479	-85.497986	24.012385
02861	9.881064	-0.378549	0.677690	0.009266	-0.015101	0.098805	1.000000	0.000028	0.000030	0.000034	-27.900507	-85.493403	24.029729
02862	9.895523	-0.361817	0.687312	0.002465	0.003352	0.113272	1.000000	0.000024	0.000027	0.000039	-27.929597	-85.488630	24.061616
02863	9.892779	-0.373416	0.647027	0.042131	-0.010569	0.108163	1.000000	0.000032	0.000023	0.000044	-27.950701	-85.484706	24.088876
02864	9.913873	-0.371679	0.674633	0.016767	-0.005558	0.131046	1.000000	0.000042	0.000018	0.000036	-27.979507	-85.480972	24.122551
02865	9.880816	-0.381395	0.679713	0.009180	-0.015447	0.098804	1.000000	0.000028	0.000030	0.000034	-27.994832	-85.476610	24.142226
02866	9.895277	-0.364611	0.689377	0.002378	0.003004	0.113272	1.000000	0.000041	0.000030	0.000035	-28.013611	-85.471682	24.165822
02867	9.901821	-0.380306	0.708158	-0.016250	-0.010209	0.121688	1.000000	0.000041	0.000031	0.000048	-28.066207	-85.465772	24.221500
02868	9.895159	-0.365891	0.690389	0.002313	0.003231	0.113272	1.000000	0.000030	0.000004	0.000010	-28.072036	-85.464818	24.230822
02869	9.880577	-0.383964	0.681731	0.009059	-0.015117	0.098805	1.000000	0.000026	0.000032	0.000061	-28.133660	-85.458368	24.295097
02870	9.909555	-0.350028	0.700560	-0.004544	0.021788	0.127739	1.000000	0.000028	0.000043	0.000033	-28.143143	-85.452260	24.307829
02871	9.892285	-0.378914	0.651360	0.041917	-0.010256	0.108164	1.000000	0.000028	0.000018	0.000035	-28.178368	-85.448507	24.346007
02872	9.888291	-0.353837	0.674461	0.020791	0.016852	0.104857	1.000000	0.000037	0.000026	0.000039	-28.205951	-85.443713	24.377904
02873	9.892163	-0.380292	0.652412	0.041784	-0.010024	0.108165	1.000000	0.000028	0.000030	0.000034	-28.244601	-85.438935	24.417905
02874	9.892104	-0.380845	0.652989	0.041784	-0.010024	0.108165	1.000000	0.000024	0.000026	0.000025	-28.256289	-85.434944	24.432435
02875	9.913174	-0.379048	0.680765	0.016173	-0.005030	0.131047	1.000000	0.000041	0.000031	0.000048	-28.297250	-85.430561	24.478777
02876	9.888032	-0.356515	0.676838	0.020412	0.017065	0.104857	1.000000	0.000028	0.000030	0.000034	-28.316319	-85.425640	24.501147
02877	9.939448	-0.356483	0.659308	0.041970	0.018302	0.154875	1.000000	0.000028	0.000030	0.000034	-28.350263	-85.422005	24.537733
02878	9.873364	-0.375245	0.669007	0.026927	-0.001293	0.090391	1.000000	0.000024	0.000027	0.000039	-28.378354	-85.417219	24.568621
02879	9.887837	-0.358526	0.678619	0.019637	0.017218	0.104858	1.000000	0.000015	0.000031	0.000034	-28.416731	-85.414739	24.608216
02880	9.906238	-0.367626	0.665695	0.033958	0.008563	0.122635	1.000000	0.000032	0.000035	0.000043	-28.443037	-85.408891	24.638281
02881	9.873168	-0.377348	0.670712	0.026134	-0.000862	0.090394	1.000000	0.000033	0.000009	0.000032	-28.506402	-85.406891	24.701212
02882	9.887657	-0.360500	0.680202	0.019333	0.017593	0.104858	1.000000	0.000033	0.000034	0.000029	-28.516101	-85.401831	24.714706
02883	9.920599	-0.352190	0.676322	0.026632	0.027265	0.137101	1.000000	0.000041	0.000031	0.000048	-28.548602	-85.397550	24.752475
02884	9.880922	-0.347323	0.663348	0.037680	0.030905	0.096445	1.000000	0.000013	0.000032	0.000060	-28.600942	-85.391030	24.806505
02885	9.903248	-0.382311	0.627863	0.072565	-0.005184	0.117539	1.000000	0.000037	0.000038	0.000025	-28.597034	-85.389572	24.808793
02886	9.887371	-0.363563	0.682719	0.018554	0.017142	0.104860	1.000000	0.000033	0.000009	0.000032	-28.626318	-85.386889	24.841990
02887	9.905800	-0.372525	0.669475	0.032201	0.008476	0.122640	1.000000	0.000033	0.000022	0.000031	-28.665493	-85.386573	24.883203
02888	9.880690	-0.349939	0.665428	0.036446	0.030570	0.096451	1.000000	0.000027	0.000031	0.000047	-28.700385	-85.380861	24.921352
02889	9.912228	-0.389033	0.688868	0.012490	-0.005009	0.131053	1.000000	0.000032	0.000035	0.000043	-28.757672	-85.381093	24.980398
02890	9.872564	-0.383829	0.675912	0.023539	-0.001368	0.090400	1.000000	0.000041	0.000030	0.000034	-28.775398	-85.376194	25.002938
02891	9.887054	-0.367122	0.685401	0.016168	0.016949	0.104865	1.000000	0.000010	0.000014	0.000040	-28.821758	-85.375877	25.049752
02892	9.913444	-0.344071	0.663234	0.042241	0.040183	0.128703	1.000000	0.000036	0.000039	0.000051	-28.854725	-85.369112	25.086933
02893	9.905391	-0.377025	0.673005	0.029765	0.008175	0.122648	1.000000	0.000034	0.000021	0.000017	-28.871576	-85.370028	25.105364
02894	9.890779	-0.394973	0.664555	0.036567	-0.010278	0.108185	1.000000	0.000032	0.000035	0.000043	-28.897168	-85.364183	25.134705
02895	9.919812	-0.361038	0.683167	0.021830	0.026431	0.137115	1.000000	0.000027	0.000019	0.000049	-28.962985	-85.366012	25.203286
02896	9.898641	-0.364300	0.656463	0.047197	0.021415	0.114249	1.000000	0.000028	0.000030	0.000034	-28.981421	-85.361136	25.225014
02897	9.872109	-0.388848	0.679677	0.019965	-0.002058	0.090408	1.000000	0.000028	0.000018	0.000035	-29.029115	-85.364048	25.275105
02898	9.913074	-0.348186	0.666613	0.039215	0.039626	0.128717	1.000000	0.000028	0.000043	0.000033	-29.037615	-85.358013	25.286844
02899	9.905004	-0.381191	0.676345	0.026302	0.007547	0.122659	1.000000	0.000010	0.000014	0.000039	-29.098482	-85.360866	25.346534
02900	9.912943	-0.349747	0.667739	0.038048	0.039439	0.128723	1.000000	0.000036	0.000039	0.000051	-29.131389	-85.354149	25.383638
02901	9.898323	-0.367870	0.659258	0.043984	0.020491	0.114265	1.000000	0.000038	0.000013	0.000027	-29.145795	-85.357107	25.404344
02902	9.904801	-0.383511	0.677994	0.025389	0.007054	0.122661	1.000000	0.000036	0.000039	0.000051	-29.178486	-85.350402	25.441253
02903	9.898189	-0.369361	0.660437	0.043331	0.020227	0.114269	1.000000	0.000033	0.000022	0.000030	-29.199733	-85.350451	25.463748
02904	9.937704	-0.376004	0.674565	0.032231	0.016583	0.154914	1.000000	0.000032	0.000022	0.000044	-29.235115	-85.345835	25.502931
02905	9.876972	-0.373311	0.634189	0.067587	0.015012	0.091420	1.000000	0.000037	0.000026	0.000039	-29.282843	-85.347329	25.550774
02906	9.912581	-0.354091	0.670813	0.035366	0.038486	0.128736	1.000000	0.000033	0.000009	0.000032	-29.312303	-85.344711	25.584107
02907	9.897961	-0.372132	0.662286	0.041317	0.019626	0.114278	1.000000	0.000023	0.000039	0.000037	-29.329209	-85.344214	25.602501
02908	9.879402	-0.364532	0.676628	0.026999	0.028294	0.096488	1.000000	0.000036	0.000039	0.000051	-29.361726	-85.337490	25.639205
02909	9.916286	-0.382045	0.650163	0.054793	0.010457	0.132074	1.000000	0.000034	0.000021	0.000017	-29.356121	-85.339858	25.637620
02910	9.900374	-0.363190	0.704966	0.000787	0.032805	0.119342	1.000000	0.000024	0.000026	0.000039	-29.383203	-85.335123	25.667480
