File:,"C:\data\20201119 cirris\Logger_xsensor_gel_2cm_v3_07.XSN"
Frame,Date,Time,Units,Threshold,Sensor,Rows,Columns,Average Pressure,Peak Pressure,Contact Area (cm²),Est. Load (N),Std Dev.,COP Row,COP Column,Frame Notes
1,"2020 Nov 19","16:17:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,8","256,0","1961,29","1563,63","42,4","12,66","18,10",""
2,"2020 Nov 19","16:17:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,81","256,0","1961,29","1564,04","42,4","12,66","18,09",""
3,"2020 Nov 19","16:17:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,78","256,0","1961,29","1563,23","42,4","12,66","18,09",""
4,"2020 Nov 19","16:17:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,78","256,0","1961,29","1563,18","42,37","12,66","18,10",""
5,"2020 Nov 19","16:17:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,78","256,0","1961,29","1563,23","42,38","12,66","18,09",""
6,"2020 Nov 19","16:17:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,76","256,0","1961,29","1562,66","42,36","12,66","18,09",""
7,"2020 Nov 19","16:17:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,72","256,0","1961,29","1561,58","42,35","12,66","18,10",""
8,"2020 Nov 19","16:17:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,69","256,0","1961,29","1560,75","42,32","12,66","18,10",""
9,"2020 Nov 19","16:17:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,68","256,0","1961,29","1560,46","42,33","12,66","18,10",""
10,"2020 Nov 19","16:17:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,81","256,0","1961,29","1563,96","42,38","12,66","18,10",""
11,"2020 Nov 19","16:17:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,79","256,0","1961,29","1563,52","42,39","12,66","18,10",""
12,"2020 Nov 19","16:17:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,76","256,0","1961,29","1562,62","42,37","12,66","18,10",""
13,"2020 Nov 19","16:17:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,74","256,0","1961,29","1562,13","42,37","12,66","18,10",""
14,"2020 Nov 19","16:17:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,76","256,0","1961,29","1562,7","42,36","12,66","18,10",""
15,"2020 Nov 19","16:17:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,77","256,0","1961,29","1562,95","42,36","12,66","18,10",""
16,"2020 Nov 19","16:17:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,79","256,0","1961,29","1563,3","42,38","12,66","18,09",""
17,"2020 Nov 19","16:17:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,77","256,0","1961,29","1562,76","42,38","12,66","18,10",""
18,"2020 Nov 19","16:17:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,77","256,0","1961,29","1562,92","42,37","12,66","18,10",""
19,"2020 Nov 19","16:17:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,8","256,0","1961,29","1563,68","42,39","12,66","18,10",""
20,"2020 Nov 19","16:17:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,76","256,0","1961,29","1562,52","42,36","12,66","18,10",""
21,"2020 Nov 19","16:17:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,74","256,0","1961,29","1562,04","42,35","12,66","18,09",""
22,"2020 Nov 19","16:17:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,73","256,0","1961,29","1561,72","42,34","12,66","18,10",""
23,"2020 Nov 19","16:17:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,76","256,0","1961,29","1562,53","42,34","12,66","18,10",""
24,"2020 Nov 19","16:17:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,74","256,0","1961,29","1562,07","42,37","12,66","18,09",""
25,"2020 Nov 19","16:17:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,67","256,0","1961,29","1560,16","42,33","12,66","18,10",""
26,"2020 Nov 19","16:17:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,73","256,0","1961,29","1561,84","42,35","12,66","18,09",""
27,"2020 Nov 19","16:17:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,7","256,0","1961,29","1561,18","42,33","12,66","18,10",""
28,"2020 Nov 19","16:17:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,71","256,0","1961,29","1561,22","42,34","12,66","18,10",""
29,"2020 Nov 19","16:17:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,71","256,0","1961,29","1561,39","42,35","12,66","18,10",""
30,"2020 Nov 19","16:17:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,73","256,0","1961,29","1561,87","42,33","12,66","18,11",""
31,"2020 Nov 19","16:17:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,8","256,0","1961,29","1563,74","42,38","12,66","18,10",""
32,"2020 Nov 19","16:17:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,72","256,0","1961,29","1561,67","42,36","12,66","18,10",""
33,"2020 Nov 19","16:17:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,74","256,0","1961,29","1562,13","42,34","12,66","18,10",""
34,"2020 Nov 19","16:17:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,72","256,0","1961,29","1561,71","42,36","12,66","18,10",""
35,"2020 Nov 19","16:17:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,73","256,0","1961,29","1561,89","42,35","12,66","18,10",""
36,"2020 Nov 19","16:17:18",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,77","256,0","1961,29","1562,95","42,39","12,66","18,10",""
