File:,"C:\data\20201120 cirris\Logger_xsensor_gel_dda_v3_08.XSN"
Frame,Date,Time,Units,Threshold,Sensor,Rows,Columns,Average Pressure,Peak Pressure,Contact Area (cm²),Est. Load (N),Std Dev.,COP Row,COP Column,Frame Notes
1,"2020 Nov 20","15:08:46",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,11","256,0","2050,0","1970,97","46,77","14,82","18,00",""
2,"2020 Nov 20","15:08:46",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,1","256,0","2051,61","1972,02","46,77","14,82","17,99",""
3,"2020 Nov 20","15:08:46",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,05","256,0","2051,61","1970,86","46,78","14,82","18,00",""
4,"2020 Nov 20","15:08:46",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,15","256,0","2050,0","1971,92","46,77","14,82","17,99",""
5,"2020 Nov 20","15:08:46",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,06","256,0","2051,61","1970,96","46,75","14,82","17,99",""
6,"2020 Nov 20","15:08:46",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,08","256,0","2050,0","1969,92","46,73","14,82","18,00",""
7,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,11","256,0","2050,0","1970,86","46,73","14,82","18,00",""
8,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,13","256,0","2050,0","1971,28","46,75","14,82","18,00",""
9,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,12","256,0","2050,0","1971,11","46,75","14,82","18,00",""
10,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,07","256,0","2051,61","1971,34","46,76","14,82","17,99",""
11,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,14","256,0","2050,0","1971,66","46,77","14,82","18,00",""
12,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,09","256,0","2051,61","1971,87","46,77","14,82","17,99",""
13,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,06","256,0","2051,61","1970,91","46,76","14,82","18,00",""
14,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,11","256,0","2050,0","1970,97","46,76","14,82","18,00",""
15,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,12","256,0","2050,0","1971,19","46,75","14,82","17,99",""
16,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"71,96","256,0","2051,61","1968,31","46,7","14,82","17,99",""
17,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,1","256,0","2050,0","1970,62","46,73","14,82","18,00",""
18,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,09","256,0","2050,0","1970,31","46,72","14,82","17,99",""
19,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,03","256,0","2051,61","1970,29","46,73","14,82","18,00",""
20,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,11","256,0","2050,0","1970,8","46,76","14,82","18,00",""
21,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,06","256,0","2051,61","1971,0","46,75","14,82","17,99",""
22,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,08","256,0","2051,61","1971,54","46,76","14,82","18,00",""
23,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,07","256,0","2051,61","1971,36","46,76","14,82","18,00",""
24,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,04","256,0","2051,61","1970,61","46,74","14,82","18,00",""
25,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,16","256,0","2050,0","1972,15","46,78","14,82","18,00",""
26,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,07","256,0","2051,61","1971,22","46,77","14,82","18,00",""
27,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,1","256,0","2050,0","1970,66","46,75","14,82","18,00",""
28,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,16","256,0","2050,0","1972,23","46,76","14,82","17,99",""
29,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,13","256,0","2050,0","1971,3","46,76","14,82","17,99",""
30,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,02","256,0","2051,61","1969,99","46,73","14,82","17,99",""
31,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,04","256,0","2050,0","1969,05","46,73","14,82","18,00",""
32,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,1","256,0","2050,0","1970,68","46,76","14,82","18,00",""
33,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,07","256,0","2051,61","1971,2","46,76","14,82","18,00",""
34,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,09","256,0","2050,0","1970,39","46,73","14,82","18,00",""
35,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,03","256,0","2051,61","1970,08","46,73","14,82","18,00",""
36,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,07","256,0","2051,61","1971,32","46,76","14,82","18,00",""
37,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,07","256,0","2050,0","1969,67","46,73","14,82","18,00",""
38,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,05","256,0","2051,61","1970,63","46,74","14,82","18,00",""
39,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,09","256,0","2050,0","1970,18","46,75","14,82","18,00",""
40,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,1","256,0","2050,0","1970,5","46,76","14,82","18,00",""
41,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,12","256,0","2050,0","1971,08","46,76","14,82","18,00",""
42,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,15","256,0","2050,0","1971,8","46,76","14,82","17,99",""
43,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,09","256,0","2050,0","1970,42","46,75","14,82","17,99",""
44,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,09","256,0","2050,0","1970,27","46,75","14,82","17,99",""
45,"2020 Nov 20","15:08:47",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"72,06","256,0","2051,61","1971,15","46,77","14,82","18,00",""
