// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.4.0
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw
33188	9.899361	-0.273770	0.730785	-0.000000	0.000000	0.117386	1.000000	0.000022	0.000031	0.000018	-20.534458	-85.494639	18.422916
33189	9.876490	-0.265630	0.729646	0.000000	-0.000000	0.094279	1.000000	0.000007	0.000022	0.000022	-19.994986	-85.506217	17.880093
33190	9.860323	-0.245873	0.696748	0.031891	0.021824	0.075204	1.000000	0.000020	0.000032	0.000031	-20.286389	-85.497796	18.175299
33191	9.874601	-0.275756	0.708249	0.021048	-0.006846	0.091095	1.000000	0.000009	0.000028	0.000014	-20.289628	-85.494199	18.179574
33192	9.874546	-0.276064	0.708892	0.021188	-0.006836	0.091095	1.000000	0.000009	0.000036	0.000019	-20.293484	-85.488760	18.184328
33193	9.905811	-0.263883	0.701914	0.031492	0.006073	0.121415	1.000000	0.000009	0.000021	0.000008	-20.293545	-85.486216	18.185366
33194	9.882941	-0.255601	0.700854	0.031748	0.013953	0.098309	1.000000	0.000017	0.000041	0.000017	-20.293966	-85.481204	18.187743
33195	9.898979	-0.276277	0.735002	-0.001099	-0.004631	0.117384	1.000000	0.000007	0.000029	0.000027	-20.315260	-85.476967	18.209905
33196	9.874332	-0.277470	0.711317	0.021148	-0.006841	0.091095	1.000000	0.000020	0.000024	0.000026	-20.336073	-85.473465	18.233031
33197	9.882778	-0.257026	0.702635	0.031722	0.013949	0.098309	1.000000	0.000007	0.000029	0.000027	-20.357288	-85.469226	18.255115
33198	9.874227	-0.278309	0.712450	0.021091	-0.006849	0.091095	1.000000	0.000004	0.000030	0.000008	-20.352534	-85.465986	18.250754
33199	9.896997	-0.287139	0.714683	0.020822	-0.014730	0.114201	1.000000	0.000020	0.000024	0.000026	-20.372951	-85.462332	18.273484
33200	9.905452	-0.266760	0.705888	0.031308	0.006068	0.121415	1.000000	0.000017	0.000018	0.000034	-20.410769	-85.459549	18.313384
33201	9.874083	-0.279668	0.713916	0.021004	-0.006841	0.091096	1.000000	0.000022	0.000031	0.000018	-20.416245	-85.455484	18.321396
33202	9.884305	-0.249858	0.727817	0.009441	0.024044	0.101493	1.000000	0.000014	0.000026	0.000020	-20.431581	-85.452568	18.338395
33203	9.882489	-0.259435	0.705804	0.031445	0.013957	0.098310	1.000000	0.000014	0.000026	0.000020	-20.443263	-85.448941	18.351751
33204	9.859623	-0.251255	0.704691	0.031545	0.021807	0.075205	1.000000	0.000022	0.000031	0.000018	-20.450477	-85.445872	18.361495
33205	9.906962	-0.259430	0.731296	0.009000	0.016132	0.124599	1.000000	0.000009	0.000036	0.000019	-20.456626	-85.441223	18.368736
33206	9.863551	-0.311549	0.703461	0.031920	-0.037813	0.080700	1.000000	0.000006	0.000014	0.000017	-20.471167	-85.440389	18.384030
33207	9.905108	-0.269517	0.709647	0.030791	0.005972	0.121417	1.000000	0.000018	0.000025	0.000039	-20.509247	-85.436086	18.424256
33208	9.882240	-0.261412	0.708557	0.030776	0.013821	0.098312	1.000000	0.000011	0.000035	0.000005	-20.501863	-85.433707	18.418109
33209	9.873672	-0.282556	0.718447	0.020203	-0.006968	0.091097	1.000000	0.000022	0.000031	0.000018	-20.507215	-85.429642	18.425997
33210	9.882129	-0.262010	0.709882	0.030442	0.013782	0.098313	1.000000	0.000015	0.000034	0.000025	-20.526767	-85.426864	18.447303
33211	9.882074	-0.262374	0.710507	0.030442	0.013782	0.098313	1.000000	0.000009	0.000028	0.000014	-20.529728	-85.423267	18.451299
33212	9.882022	-0.262822	0.711064	0.029999	0.013704	0.098315	1.000000	0.000012	0.000027	0.000033	-20.563900	-85.421574	18.486997
33213	9.881977	-0.263274	0.711525	0.029998	0.013704	0.098315	1.000000	0.000014	0.000019	0.000014	-20.572341	-85.419003	18.497057
33214	9.904737	-0.272205	0.713795	0.029240	0.005707	0.121422	1.000000	0.000028	0.000037	0.000029	-20.592365	-85.416716	18.520189
33215	9.881873	-0.264234	0.712607	0.029514	0.013588	0.098316	1.000000	0.000004	0.000015	0.000030	-20.624783	-85.413931	18.553191
33216	9.883577	-0.255515	0.735699	0.006952	0.023535	0.101496	1.000000	-0.000003	0.000041	0.000020	-20.634699	-85.412010	18.562835
33217	9.883518	-0.255852	0.736374	0.006952	0.023535	0.101496	1.000000	0.000034	0.000026	0.000016	-20.639181	-85.408530	18.571299
33218	9.879963	-0.274631	0.691779	0.050384	0.003152	0.095143	1.000000	0.000007	0.000022	0.000022	-20.655735	-85.408891	18.588392
33219	9.874898	-0.277472	0.746579	-0.004198	0.002537	0.094278	1.000000	0.000009	0.000028	0.000014	-20.658629	-85.405297	18.592312
33220	9.858817	-0.257530	0.713647	0.028021	0.020913	0.075217	1.000000	0.000014	0.000026	0.000020	-20.670522	-85.405547	18.605205
33221	9.911164	-0.263259	0.685849	0.060037	0.015852	0.125471	1.000000	0.000014	0.000026	0.000020	-20.682033	-85.401924	18.618361
33222	9.881521	-0.266913	0.716482	0.027101	0.012781	0.098324	1.000000	0.000020	0.000032	0.000031	-20.702508	-85.401170	18.640916
33223	9.862164	-0.240221	0.760436	-0.016630	0.040840	0.081569	1.000000	0.000011	0.000027	0.000000	-20.687778	-85.398227	18.627353
33224	9.904235	-0.276057	0.719255	0.026275	0.004579	0.121431	1.000000	0.000017	0.000018	0.000034	-20.712929	-85.398518	18.654255
33225	9.872854	-0.288847	0.727140	0.015988	-0.008322	0.091104	1.000000	0.000008	0.000021	0.000008	-20.712862	-85.395964	18.655126
33226	9.881342	-0.268229	0.718463	0.025998	0.012175	0.098328	1.000000	0.000015	0.000034	0.000025	-20.720215	-85.394890	18.664083
33227	9.881286	-0.268649	0.719070	0.026000	0.012177	0.098328	1.000000	0.000014	0.000026	0.000020	-20.731623	-85.391246	18.677122
33228	9.881235	-0.268935	0.719668	0.025244	0.011860	0.098330	1.000000	0.000017	0.000033	0.000011	-20.723957	-85.391945	18.671988
33229	9.891463	-0.239122	0.733656	0.013809	0.042736	0.108727	1.000000	0.000015	0.000034	0.000025	-20.738283	-85.387251	18.688017
33230	9.881118	-0.269666	0.721000	0.024447	0.011485	0.098333	1.000000	0.000022	0.000031	0.000018	-20.736169	-85.388264	18.688073
33231	9.889616	-0.249191	0.712236	0.035017	0.032275	0.105560	1.000000	0.000004	0.000015	0.000030	-20.768394	-85.385463	18.720847
33232	9.879274	-0.279762	0.699531	0.045596	0.000978	0.095167	1.000000	0.000025	0.000046	0.000015	-20.752854	-85.385442	18.708127
33233	9.889501	-0.250085	0.713527	0.034156	0.031854	0.105564	1.000000	0.000005	0.000022	0.000035	-20.788097	-85.381603	18.743973
33234	9.856358	-0.272133	0.699033	0.045049	0.008424	0.072068	1.000000	0.000017	0.000033	0.000011	-20.773583	-85.382985	18.732250
33235	9.880844	-0.271877	0.723916	0.022749	0.010623	0.098338	1.000000	0.000012	0.000027	0.000033	-20.802565	-85.378720	18.762716
33236	9.879059	-0.281555	0.701840	0.043734	0.000112	0.095175	1.000000	0.000014	0.000019	0.000014	-20.805744	-85.382542	18.766379
33237	9.880753	-0.272619	0.724879	0.021721	0.010201	0.098341	1.000000	0.000022	0.000031	0.000018	-20.811087	-85.378512	18.774212
33238	9.887525	-0.261215	0.693618	0.053029	0.020480	0.102416	1.000000	0.000014	0.000019	0.000014	-20.820060	-85.383671	18.785130
33239	9.880662	-0.273305	0.725860	0.020443	0.009783	0.098344	1.000000	0.000007	0.000029	0.000027	-20.840864	-85.379488	18.806754
33240	9.878856	-0.283057	0.704086	0.041333	-0.000717	0.095186	1.000000	0.000023	0.000047	0.000028	-20.849620	-85.380216	18.817631
33241	9.856009	-0.274983	0.702830	0.041617	0.007178	0.072084	1.000000	0.000016	0.000002	0.000024	-20.878572	-85.379130	18.848498
33242	9.889063	-0.253846	0.718252	0.028648	0.029751	0.105588	1.000000	0.000015	0.000034	0.000025	-20.893362	-85.381944	18.866777
33243	9.855912	-0.275888	0.703831	0.040375	0.006774	0.072090	1.000000	0.000027	0.000029	0.000024	-20.907333	-85.377944	18.883886
33244	9.901448	-0.293399	0.707994	0.038734	-0.009397	0.118296	1.000000	0.000009	0.000036	0.000019	-20.911000	-85.379689	18.886784
33245	9.888899	-0.255003	0.720095	0.027573	0.029371	0.105592	1.000000	0.000014	0.000019	0.000014	-20.919898	-85.377215	18.897233
33246	9.878561	-0.285470	0.707240	0.037741	-0.001899	0.095200	1.000000	0.000014	0.000026	0.000020	-20.933678	-85.381348	18.912941
33247	9.880239	-0.276684	0.730331	0.015707	0.008191	0.098354	1.000000	0.000007	0.000029	0.000027	-20.954757	-85.377231	18.934819
33248	9.887028	-0.265475	0.699075	0.046926	0.018476	0.102450	1.000000	0.000007	0.000022	0.000022	-20.975080	-85.382246	18.960178
33249	9.886980	-0.265844	0.699604	0.046893	0.018477	0.102450	1.000000	0.000022	0.000031	0.000018	-20.980743	-85.378362	18.968365
33250	9.855561	-0.278511	0.707699	0.035444	0.005170	0.072109	1.000000	0.000022	0.000031	0.000018	-20.985036	-85.381664	18.978439
33251	9.885146	-0.275873	0.678288	0.067667	0.007976	0.099308	1.000000	0.000012	0.000027	0.000033	-21.014304	-85.377563	19.009240
33252	9.879968	-0.278897	0.733149	0.011484	0.006964	0.098361	1.000000	0.000007	0.000029	0.000027	-21.045785	-85.382883	19.041445
33253	9.886761	-0.267746	0.701971	0.044005	0.017666	0.102465	1.000000	0.000007	0.000029	0.000027	-21.066909	-85.378892	19.063455
33254	9.886713	-0.268163	0.702496	0.043153	0.017287	0.102470	1.000000	0.000001	0.000024	0.000016	-21.069419	-85.381080	19.069201
33255	9.865589	-0.250721	0.723884	0.021416	0.035262	0.082515	1.000000	0.000022	0.000039	0.000023	-21.077810	-85.376202	19.080244
33256	9.884882	-0.278186	0.681194	0.064285	0.006820	0.099331	1.000000	0.000007	0.000022	0.000022	-21.088650	-85.378291	19.092029
33257	9.865486	-0.251621	0.724980	0.020539	0.034876	0.082518	1.000000	0.000032	0.000027	0.000030	-21.111000	-85.374384	19.118255
33258	9.863707	-0.261309	0.703084	0.041715	0.024359	0.079380	1.000000	0.000009	0.000036	0.000019	-21.106043	-85.375135	19.117361
33259	9.863646	-0.261723	0.703784	0.041676	0.024353	0.079380	1.000000	0.000015	0.000034	0.000025	-21.120296	-85.370674	19.133448
33260	9.884656	-0.280009	0.683712	0.062172	0.005891	0.099346	1.000000	0.000015	0.000034	0.000025	-21.129289	-85.373481	19.147289
33261	9.870402	-0.250947	0.673310	0.073001	0.034568	0.083506	1.000000	0.000014	0.000026	0.000020	-21.140629	-85.370116	19.160445
33262	9.875953	-0.301705	0.694255	0.050059	-0.015355	0.092095	1.000000	0.000030	0.000044	0.000021	-21.147373	-85.373768	19.171026
33263	9.886194	-0.272003	0.708293	0.038538	0.015499	0.102491	1.000000	0.000007	0.000029	0.000027	-21.168007	-85.369834	19.192669
33264	9.894729	-0.251540	0.699716	0.047334	0.035861	0.109762	1.000000	0.000009	0.000036	0.000019	-21.186180	-85.375620	19.212735
33265	9.854709	-0.285117	0.716870	0.026502	0.002184	0.072139	1.000000	0.000032	0.000012	0.000019	-21.203018	-85.373974	19.233416
33266	9.887752	-0.263947	0.732520	0.013359	0.024710	0.105634	1.000000	0.000010	0.000044	0.000024	-21.213353	-85.376438	19.247644
33267	9.887689	-0.264362	0.733223	0.013289	0.024699	0.105634	1.000000	0.000014	0.000026	0.000020	-21.225151	-85.373207	19.261276
33268	9.885932	-0.274059	0.711152	0.033998	0.014288	0.102510	1.000000	0.000012	0.000019	0.000028	-21.259526	-85.377779	19.292939
33269	9.887596	-0.265265	0.734143	0.011903	0.024359	0.105637	1.000000	0.000014	0.000026	0.000020	-21.271703	-85.374586	19.306902
33270	9.863050	-0.266325	0.710378	0.033648	0.021887	0.079416	1.000000	0.000027	0.000029	0.000024	-21.279281	-85.374362	19.313204
33271	9.885789	-0.275305	0.712652	0.033234	0.013977	0.102513	1.000000	-0.000006	0.000019	0.000018	-21.295482	-85.372040	19.328782
33272	9.885744	-0.275644	0.713149	0.032172	0.013589	0.102517	1.000000	0.000022	0.000031	0.000018	-21.299081	-85.374534	19.334848
33273	9.887401	-0.266576	0.736299	0.010078	0.023664	0.105641	1.000000	0.000024	0.000030	0.000004	-21.287686	-85.371569	19.326225
33274	9.887355	-0.266922	0.736782	0.008333	0.023253	0.105643	1.000000	0.000017	0.000017	0.000034	-21.335603	-85.378651	19.377332
33275	9.887309	-0.267430	0.737224	0.008242	0.023249	0.105643	1.000000	0.000014	0.000026	0.000020	-21.348252	-85.375524	19.391718
33276	9.862766	-0.268454	0.713515	0.029321	0.020881	0.079432	1.000000	0.000009	0.000036	0.000019	-21.371667	-85.378329	19.407239
33277	9.894104	-0.256510	0.706712	0.039415	0.033757	0.109804	1.000000	0.000014	0.000026	0.000020	-21.384931	-85.375240	19.422144
33278	9.887156	-0.268500	0.738874	0.006161	0.022715	0.105646	1.000000	0.000006	0.000014	0.000017	-21.392505	-85.377509	19.428312
33279	9.862625	-0.269527	0.715066	0.028431	0.020544	0.079436	1.000000	0.000022	0.000039	0.000023	-21.402389	-85.372924	19.440734
33280	9.883635	-0.287894	0.695106	0.049167	0.002161	0.099420	1.000000	0.000007	0.000037	0.000032	-21.420571	-85.373430	19.460129
33281	9.885263	-0.279082	0.718464	0.027049	0.012247	0.102534	1.000000	0.000025	0.000046	0.000015	-21.415799	-85.368473	19.458121
33282	9.862429	-0.270746	0.717298	0.026923	0.019861	0.079441	1.000000	0.000014	0.000019	0.000014	-21.415368	-85.369084	19.456061
33283	9.885166	-0.279714	0.719545	0.026467	0.011955	0.102536	1.000000	0.000019	0.000024	0.000026	-21.437169	-85.365938	19.480093
33284	9.892035	-0.268553	0.688373	0.058530	0.022360	0.106708	1.000000	0.000015	0.000034	0.000025	-21.443071	-85.364516	19.484724
33285	9.885054	-0.280667	0.720721	0.025871	0.011671	0.102538	1.000000	0.000019	0.000024	0.000026	-21.464876	-85.361356	19.508736
33286	9.870841	-0.251627	0.710306	0.035687	0.040078	0.086731	1.000000	0.000022	0.000039	0.000023	-21.479477	-85.362776	19.523541
33287	9.884939	-0.281431	0.721988	0.024674	0.011396	0.102541	1.000000	0.000021	0.000023	0.000012	-21.484076	-85.360318	19.530496
33288	9.883205	-0.291006	0.699912	0.045926	0.000962	0.099436	1.000000	0.000006	0.000021	0.000022	-21.495603	-85.361949	19.542676
33289	9.884858	-0.282148	0.722822	0.023806	0.011054	0.102544	1.000000	0.000019	0.000017	0.000021	-21.514871	-85.359882	19.564074
33290	9.891744	-0.270803	0.691659	0.055725	0.021411	0.106726	1.000000	0.000012	0.000043	0.000011	-21.497755	-85.358983	19.548520
33291	9.891681	-0.271193	0.692411	0.055624	0.021419	0.106727	1.000000	0.000020	0.000032	0.000031	-21.522454	-85.354787	19.575458
33292	9.893316	-0.262410	0.715525	0.032770	0.031259	0.109836	1.000000	0.000014	0.000026	0.000020	-21.536860	-85.356197	19.588447
33293	9.884627	-0.283716	0.725365	0.022121	0.010491	0.102548	1.000000	0.000015	0.000034	0.000025	-21.553228	-85.352046	19.606389
33294	9.868745	-0.263850	0.692397	0.054073	0.028692	0.083646	1.000000	0.000009	0.000028	0.000014	-21.551405	-85.354590	19.608808
33295	9.893158	-0.263562	0.717284	0.031582	0.030871	0.109841	1.000000	0.000019	0.000024	0.000026	-21.573344	-85.351463	19.632929
33296	9.870330	-0.255375	0.716055	0.031422	0.038544	0.086751	1.000000	0.000009	0.000036	0.000019	-21.574964	-85.350173	19.632007
33297	9.894725	-0.255078	0.741136	0.008932	0.040725	0.112945	1.000000	0.000009	0.000036	0.000019	-21.582841	-85.346060	19.640818
33298	9.861580	-0.276984	0.726534	0.019713	0.017171	0.079463	1.000000	0.000019	0.000017	0.000021	-21.583268	-85.350439	19.652789
33299	9.878824	-0.235674	0.708429	0.040690	0.058731	0.094052	1.000000	0.000012	0.000019	0.000028	-21.611214	-85.347757	19.682103
33300	9.889534	-0.284173	0.675040	0.071971	0.009690	0.103665	1.000000	0.000022	0.000039	0.000023	-21.651258	-85.353069	19.719299
33301	9.894513	-0.256879	0.743330	0.005796	0.039952	0.112951	1.000000	0.000020	0.000032	0.000031	-21.676337	-85.348985	19.746607
33302	9.861367	-0.278837	0.728705	0.016542	0.016483	0.079470	1.000000	0.000014	0.000018	0.000014	-21.675351	-85.353512	19.753250
33303	9.868290	-0.267617	0.697423	0.048972	0.027183	0.083677	1.000000	0.000007	0.000029	0.000027	-21.698156	-85.349938	19.776833
33304	9.901325	-0.246662	0.713220	0.035007	0.049593	0.117170	1.000000	0.000007	0.000037	0.000032	-21.735086	-85.357158	19.822130
33305	9.869848	-0.259262	0.721279	0.024710	0.036736	0.086777	1.000000	0.000024	0.000030	0.000004	-21.725586	-85.354574	19.815302
33306	9.892559	-0.268053	0.723844	0.023451	0.028578	0.109871	1.000000	0.000017	0.000041	0.000017	-21.729602	-85.354739	19.816236
33307	9.861072	-0.280645	0.731995	0.013153	0.015725	0.079477	1.000000	0.000009	0.000036	0.000019	-21.738248	-85.350916	19.825901
33308	9.867998	-0.269399	0.700859	0.043803	0.026273	0.083703	1.000000	0.000014	0.000026	0.000020	-21.786017	-85.358041	19.868682
33309	9.894062	-0.259902	0.748272	-0.000802	0.038529	0.112958	1.000000	0.000019	0.000024	0.000026	-21.809466	-85.355266	19.894308
33310	9.880341	-0.309041	0.690396	0.052914	-0.012849	0.096416	1.000000	0.000006	0.000021	0.000022	-21.846804	-85.362657	19.933111
33311	9.869522	-0.261422	0.724955	0.019622	0.036023	0.086791	1.000000	0.000022	0.000039	0.000023	-21.858661	-85.358534	19.947422
33312	9.890552	-0.279703	0.705043	0.038920	0.017506	0.106814	1.000000	0.000009	0.000036	0.000019	-21.885476	-85.367646	19.982282
33313	9.883501	-0.291830	0.737384	0.006157	0.006815	0.102574	1.000000	0.000004	0.000022	0.000035	-21.924911	-85.364881	20.022267
33314	9.899093	-0.259905	0.697102	0.047775	0.038279	0.114135	1.000000	0.000017	0.000049	0.000022	-21.962448	-85.366789	20.050838
