// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.4.0
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw
53244	9.568451	-0.314429	-2.285016	-0.000000	0.000000	0.029844	1.000000	-0.000004	0.000025	0.000039	-172.174826	-76.445843	172.480087
53245	9.601238	-0.324995	-2.279557	0.000000	-0.000000	0.060801	1.000000	0.000015	0.000017	0.000036	-171.896054	-76.513124	172.484183
53246	9.568610	-0.315912	-2.284146	0.005400	0.002940	0.029842	1.000000	0.000004	0.000030	0.000036	-172.025789	-76.481302	172.471199
53247	9.577092	-0.350112	-2.285367	0.005120	-0.030213	0.039481	1.000000	0.000000	0.000007	0.000041	-172.005784	-76.481477	172.450631
53248	9.584952	-0.330765	-2.296089	0.014093	-0.009547	0.048978	1.000000	0.000027	0.000028	0.000053	-171.975600	-76.484361	172.422786
53249	9.568781	-0.318505	-2.283070	0.005494	0.002941	0.029842	1.000000	0.000012	0.000009	0.000030	-171.959588	-76.484912	172.407694
53250	9.585053	-0.332373	-2.295434	0.014088	-0.009545	0.048978	1.000000	-0.000000	0.000020	0.000043	-171.937740	-76.486502	172.385220
53251	9.585391	-0.316660	-2.264619	-0.015565	0.006557	0.041662	1.000000	0.000019	0.000027	0.000029	-171.919967	-76.489095	172.369213
53252	9.593029	-0.313594	-2.305630	0.022962	0.011123	0.058474	1.000000	0.000004	0.000015	0.000048	-171.895963	-76.490044	172.344990
53253	9.569055	-0.321500	-2.281501	0.005485	0.002947	0.029842	1.000000	0.000008	0.000027	0.000028	-171.880253	-76.492682	172.329731
53254	9.585350	-0.335316	-2.293765	0.014063	-0.009546	0.048978	1.000000	0.000008	0.000012	0.000039	-171.860463	-76.493325	172.310285
53255	9.577271	-0.286081	-2.261455	-0.015310	0.039709	0.032023	1.000000	0.000008	0.000027	0.000028	-171.844743	-76.495960	172.295016
53256	9.593344	-0.316330	-2.303947	0.022922	0.011091	0.058474	1.000000	-0.000004	0.000025	0.000039	-171.825762	-76.498123	172.274984
53257	9.552870	-0.327463	-2.297610	0.026500	-0.000700	0.018023	1.000000	0.000012	0.000009	0.000030	-171.809732	-76.498665	172.259874
53258	9.585868	-0.321585	-2.261904	-0.015672	0.006492	0.041662	1.000000	-0.000000	0.000020	0.000043	-171.788993	-76.499936	172.238479
53259	9.577301	-0.305406	-2.290245	0.014261	0.023543	0.039339	1.000000	0.000008	0.000025	0.000041	-171.767182	-76.502137	172.216954
53260	9.560898	-0.309493	-2.307544	0.035255	0.019863	0.027520	1.000000	0.000016	0.000017	0.000036	-171.749053	-76.503187	172.200037
53261	9.585804	-0.340418	-2.291114	0.013920	-0.009676	0.048978	1.000000	0.000008	0.000012	0.000039	-171.729053	-76.503935	172.180388
53262	9.569624	-0.328029	-2.278186	0.005208	0.002736	0.029843	1.000000	0.000016	0.000017	0.000036	-171.711344	-76.504675	172.163876
53263	9.586161	-0.325644	-2.260078	-0.015847	0.006350	0.041662	1.000000	0.000008	0.000023	0.000054	-171.683445	-76.506436	172.136099
53264	9.585729	-0.359423	-2.320338	0.043359	-0.025939	0.056294	1.000000	0.000012	0.000022	0.000032	-171.668014	-76.507914	172.121461
53265	9.553600	-0.317435	-2.264349	-0.003489	0.015140	0.010707	1.000000	0.000004	0.000015	0.000048	-171.644041	-76.508865	172.097269
53266	9.593917	-0.324285	-2.300452	0.022434	0.010761	0.058476	1.000000	0.000023	0.000009	0.000031	-171.628071	-76.508536	172.083465
53267	9.569916	-0.332167	-2.276359	0.004959	0.002585	0.029843	1.000000	0.000015	0.000030	0.000038	-171.606255	-76.511317	172.062847
53268	9.586230	-0.346064	-2.288483	0.013375	-0.009990	0.048978	1.000000	0.000012	0.000022	0.000032	-171.591131	-76.512319	172.048561
53269	9.586538	-0.330322	-2.257798	-0.016278	0.006113	0.041661	1.000000	0.000008	0.000012	0.000039	-171.571118	-76.513054	172.028901
53270	9.585556	-0.310344	-2.327740	0.052018	0.027652	0.056157	1.000000	0.000004	0.000015	0.000048	-171.549517	-76.513092	172.007005
53271	9.594246	-0.328091	-2.298539	0.022085	0.010601	0.058477	1.000000	0.000008	0.000027	0.000028	-171.533728	-76.515707	171.991671
53272	9.561398	-0.335282	-2.333496	0.063924	0.003253	0.034843	1.000000	0.000012	0.000022	0.000032	-171.519735	-76.516215	171.978251
53273	9.594654	-0.313037	-2.267347	-0.007839	0.026584	0.051159	1.000000	0.000004	0.000015	0.000048	-171.495734	-76.517150	171.954028
53274	9.594464	-0.330373	-2.297301	0.021483	0.010309	0.058478	1.000000	0.000008	0.000025	0.000041	-171.479257	-76.517577	171.937736
