// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.4.0
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw
02063	1.517023	0.004376	9.689644	0.000000	-0.000000	-0.005008	1.000000	-0.000053	0.000023	0.000014	0.029032	-8.899380	41.869905
02064	1.546699	-0.025850	9.654868	0.046266	-0.000557	-0.034790	1.000000	-0.000046	0.000029	0.000008	0.027863	-8.898481	41.383490
02065	1.506214	0.014855	9.671094	-0.012629	0.002889	-0.025001	1.000000	-0.000036	0.000032	0.000012	0.023547	-8.894787	41.384875
02066	1.545335	0.018034	9.685091	0.012620	0.030313	-0.005124	1.000000	-0.000049	0.000031	0.000027	0.018449	-8.891423	41.388002
02067	1.544470	-0.015883	9.695505	0.033029	0.004377	0.005019	1.000000	-0.000044	0.000033	0.000014	0.013114	-8.887635	41.389680
02068	1.514008	-0.000271	9.690116	0.000613	-0.002071	-0.005008	1.000000	-0.000051	0.000038	0.000023	0.006856	-8.883383	41.392380
02069	1.533745	-0.018207	9.636655	0.033183	0.004095	-0.054783	1.000000	-0.000052	0.000039	-0.000005	0.001013	-8.878890	41.391771
02070	1.522777	-0.027251	9.668689	0.027077	-0.011965	-0.024824	1.000000	-0.000053	0.000023	0.000014	-0.005358	-8.876409	41.393437
02071	1.512146	-0.003284	9.690406	0.000587	-0.002079	-0.005008	1.000000	-0.000041	0.000030	0.000024	-0.010438	-8.872972	41.396257
02072	1.511281	-0.037119	9.700799	0.020956	-0.028015	0.005134	1.000000	-0.000044	0.000033	0.000014	-0.015929	-8.869364	41.397957
02073	1.521061	-0.029915	9.668951	0.027037	-0.011965	-0.024824	1.000000	-0.000038	0.000028	0.000006	-0.020348	-8.866122	41.398611
02074	1.520883	-0.043432	9.628682	0.040289	-0.017015	-0.064632	1.000000	-0.000053	0.000034	0.000017	-0.027127	-8.862457	41.400645
02075	1.490058	-0.015036	9.663641	-0.005444	-0.018375	-0.034851	1.000000	-0.000027	0.000031	0.000009	-0.030419	-8.858856	41.401734
02076	1.539215	0.009029	9.686078	0.012362	0.030386	-0.005124	1.000000	-0.000030	0.000022	0.000025	-0.035007	-8.856545	41.404779
02077	1.508635	-0.008279	9.690951	0.000366	-0.001990	-0.005008	1.000000	-0.000061	0.000035	0.000020	-0.042377	-8.852568	41.407039
02078	1.528639	-0.026034	9.637448	0.032823	0.004205	-0.054781	1.000000	-0.000024	0.000017	0.000017	-0.045955	-8.850966	41.409047
02079	1.507384	-0.042733	9.701382	0.020660	-0.027896	0.005135	1.000000	-0.000036	0.000032	0.000012	-0.050266	-8.847272	41.410427
02080	1.537531	-0.006750	9.646051	0.025403	0.025392	-0.044931	1.000000	-0.000038	0.000028	0.000006	-0.055610	-8.844570	41.411221
02081	1.516184	-0.023643	9.709995	0.013239	-0.006709	0.014985	1.000000	-0.000041	0.000030	0.000024	-0.060685	-8.841133	41.414037
02082	1.525966	-0.016476	9.678162	0.019103	0.009369	-0.014973	1.000000	-0.000044	0.000033	0.000014	-0.066988	-8.838196	41.415870
02083	1.515506	-0.037983	9.669795	0.026351	-0.011762	-0.024822	1.000000	-0.000041	0.000019	0.000022	-0.072021	-8.836018	41.418374
02084	1.495106	-0.001561	9.672829	-0.013558	0.002966	-0.025002	1.000000	-0.000041	0.000042	-0.000002	-0.077904	-8.832148	41.418356
02085	1.514199	-0.039481	9.669994	0.026094	-0.011725	-0.024821	1.000000	-0.000027	0.000031	0.000009	-0.081192	-8.828545	41.419442
02086	1.504010	-0.027782	9.651358	0.012657	-0.006888	-0.044815	1.000000	-0.000036	0.000021	0.000009	-0.086686	-8.827204	41.420735
02087	1.492954	0.008844	9.713465	-0.027167	0.008078	0.014804	1.000000	-0.000052	0.000028	-0.000008	-0.092479	-8.823971	41.419806
02088	1.503093	-0.029486	9.651496	0.012439	-0.006864	-0.044815	1.000000	-0.000038	0.000017	0.000003	-0.097816	-8.822854	41.420336
02089	1.492514	-0.005410	9.673228	-0.014054	0.003021	-0.025003	1.000000	-0.000046	0.000029	0.000008	-0.103244	-8.819521	41.421278
