File:,"C:\data\20201117 cirris\Logger_xsensor_pleine_2cm_v3_00.XSN"
Frame,Date,Time,Units,Threshold,Sensor,Rows,Columns,Average Pressure,Peak Pressure,Contact Area (cm²),Est. Load (N),Std Dev.,COP Row,COP Column,Frame Notes
1,"2020 Nov 17","12:46:37",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,68","256,0","1950,0","1551,61","41,73","14,30","19,11",""
2,"2020 Nov 17","12:46:37",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,58","256,0","1951,61","1550,3","41,71","14,30","19,10",""
3,"2020 Nov 17","12:46:37",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,59","256,0","1950,0","1549,32","41,69","14,30","19,10",""
4,"2020 Nov 17","12:46:37",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,54","256,0","1951,61","1549,08","41,69","14,30","19,11",""
5,"2020 Nov 17","12:46:37",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,62","256,0","1950,0","1549,99","41,69","14,30","19,11",""
6,"2020 Nov 17","12:46:37",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,54","256,0","1950,0","1547,8","41,63","14,31","19,11",""
7,"2020 Nov 17","12:46:37",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,58","256,0","1951,61","1550,17","41,68","14,31","19,11",""
8,"2020 Nov 17","12:46:37",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,57","256,0","1951,61","1549,98","41,67","14,31","19,11",""
9,"2020 Nov 17","12:46:37",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,52","256,0","1951,61","1548,65","41,63","14,31","19,12",""
10,"2020 Nov 17","12:46:37",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,54","256,0","1950,0","1548,01","41,57","14,31","19,12",""
11,"2020 Nov 17","12:46:37",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,57","256,0","1950,0","1548,74","41,59","14,31","19,12",""
12,"2020 Nov 17","12:46:37",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,55","256,0","1948,39","1546,93","41,5","14,32","19,12",""
13,"2020 Nov 17","12:46:37",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,51","256,0","1950,0","1547,25","41,52","14,32","19,12",""
14,"2020 Nov 17","12:46:37",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,54","256,0","1948,39","1546,65","41,47","14,32","19,12",""
15,"2020 Nov 17","12:46:37",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,48","256,0","1950,0","1546,43","41,47","14,32","19,12",""
16,"2020 Nov 17","12:46:37",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,41","256,0","1950,0","1544,62","41,44","14,32","19,11",""
17,"2020 Nov 17","12:46:37",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,39","256,0","1950,0","1544,14","41,4","14,32","19,12",""
18,"2020 Nov 17","12:46:37",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,45","256,0","1948,39","1544,39","41,36","14,33","19,12",""
19,"2020 Nov 17","12:46:37",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,33","256,0","1948,39","1541,18","41,26","14,33","19,11",""
20,"2020 Nov 17","12:46:37",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,3","256,0","1948,39","1540,32","41,23","14,33","19,12",""
21,"2020 Nov 17","12:46:37",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,38","256,0","1946,77","1541,09","41,23","14,33","19,12",""
22,"2020 Nov 17","12:46:37",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,32","256,0","1948,39","1540,8","41,27","14,33","19,13",""
23,"2020 Nov 17","12:46:37",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,35","256,0","1946,77","1540,53","41,29","14,33","19,12",""
24,"2020 Nov 17","12:46:37",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,37","256,0","1948,39","1542,18","41,29","14,33","19,12",""
25,"2020 Nov 17","12:46:37",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,33","256,0","1948,39","1541,11","41,26","14,33","19,12",""
26,"2020 Nov 17","12:46:37",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,37","256,0","1948,39","1542,29","41,28","14,34","19,12",""
27,"2020 Nov 17","12:46:37",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"59,36","256,0","1948,39","1542,06","41,29","14,33","19,12",""
