File:,"C:\data\20201120 cirris\Logger_xsensor_pleine_dda_v2_09.XSN"
Frame,Date,Time,Units,Threshold,Sensor,Rows,Columns,Average Pressure,Peak Pressure,Contact Area (cm²),Est. Load (N),Std Dev.,COP Row,COP Column,Frame Notes
1,"2020 Nov 20","16:10:22",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"73,58","256,0","2070,97","2031,5","44,4","15,72","18,48",""
2,"2020 Nov 20","16:10:22",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"73,67","256,0","2069,35","2032,39","44,41","15,72","18,49",""
3,"2020 Nov 20","16:10:22",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"73,67","256,0","2069,35","2032,36","44,41","15,72","18,48",""
4,"2020 Nov 20","16:10:22",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"73,63","256,0","2070,97","2032,89","44,43","15,72","18,48",""
5,"2020 Nov 20","16:10:22",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"73,63","256,0","2069,35","2031,41","44,39","15,72","18,48",""
6,"2020 Nov 20","16:10:22",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"73,58","256,0","2070,97","2031,52","44,37","15,72","18,48",""
7,"2020 Nov 20","16:10:22",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"73,59","256,0","2069,35","2030,22","44,34","15,72","18,48",""
8,"2020 Nov 20","16:10:22",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"73,58","256,0","2069,35","2030,08","44,35","15,72","18,48",""
9,"2020 Nov 20","16:10:22",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"73,56","256,0","2069,35","2029,56","44,33","15,72","18,48",""
10,"2020 Nov 20","16:10:22",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"73,47","256,0","2070,97","2028,63","44,34","15,72","18,48",""
11,"2020 Nov 20","16:10:22",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"73,49","256,0","2069,35","2027,6","44,33","15,72","18,49",""
12,"2020 Nov 20","16:10:22",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"73,46","256,0","2070,97","2028,31","44,32","15,72","18,48",""
13,"2020 Nov 20","16:10:22",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"73,45","256,0","2070,97","2027,91","44,32","15,72","18,49",""
14,"2020 Nov 20","16:10:22",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"73,46","256,0","2070,97","2028,24","44,35","15,72","18,48",""
15,"2020 Nov 20","16:10:22",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"73,41","256,0","2070,97","2026,83","44,31","15,72","18,48",""
16,"2020 Nov 20","16:10:22",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"73,43","256,0","2070,97","2027,52","44,32","15,72","18,49",""
17,"2020 Nov 20","16:10:22",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"73,47","256,0","2070,97","2028,44","44,31","15,72","18,48",""
18,"2020 Nov 20","16:10:22",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"73,5","256,0","2069,35","2027,86","44,29","15,72","18,48",""
19,"2020 Nov 20","16:10:22",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"73,5","256,0","2069,35","2027,91","44,32","15,72","18,48",""
20,"2020 Nov 20","16:10:22",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"73,55","256,0","2069,35","2029,07","44,32","15,72","18,48",""
21,"2020 Nov 20","16:10:22",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"73,46","256,0","2070,97","2028,21","44,32","15,72","18,48",""
22,"2020 Nov 20","16:10:22",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"73,5","256,0","2069,35","2027,88","44,32","15,72","18,49",""
23,"2020 Nov 20","16:10:22",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"73,42","256,0","2070,97","2027,18","44,31","15,72","18,48",""
