// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.4.0
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw
30242	1.228440	-0.111508	9.719853	0.000000	-0.000000	-0.014879	1.000000	-0.000098	0.000064	0.000025	-0.651520	-7.206346	47.930012
30243	1.213038	-0.088340	9.721991	-0.028013	0.004029	-0.014954	1.000000	-0.000129	0.000037	0.000022	-0.666610	-7.202027	47.932502
30244	1.224169	-0.103358	9.734874	-0.011657	0.003191	-0.000608	1.000000	-0.000080	0.000063	0.000032	-0.676638	-7.195144	47.936131
30245	1.212171	-0.099715	9.728574	-0.022431	-0.000499	-0.008405	1.000000	-0.000113	0.000053	0.000046	-0.690129	-7.188935	47.941310
30246	1.221808	-0.105504	9.707562	-0.010733	0.006802	-0.027978	1.000000	-0.000113	0.000053	0.000028	-0.703292	-7.182678	47.944493
30247	1.218439	-0.095188	9.722502	-0.022838	0.012223	-0.013706	1.000000	-0.000105	0.000057	0.000022	-0.715301	-7.175964	47.946849
30248	1.217297	-0.097302	9.722624	-0.022708	0.012173	-0.013706	1.000000	-0.000105	0.000060	0.000032	-0.727053	-7.168710	47.950322
30249	1.226958	-0.105211	9.729172	-0.011721	0.015771	-0.005909	1.000000	-0.000123	0.000062	0.000025	-0.740227	-7.161165	47.952923
30250	1.212275	-0.086182	9.696416	-0.033154	0.022811	-0.040487	1.000000	-0.000106	0.000067	0.000035	-0.751299	-7.153076	47.956652
30251	1.222194	-0.095229	9.716712	-0.022442	0.024450	-0.019005	1.000000	-0.000129	0.000037	0.000022	-0.763880	-7.148409	47.958813
30252	1.232055	-0.103214	9.723235	-0.011197	0.027801	-0.011207	1.000000	-0.000105	0.000064	0.000042	-0.773203	-7.140663	47.963140
30253	1.209124	-0.094010	9.710525	-0.032266	0.019931	-0.026796	1.000000	-0.000097	0.000061	0.000032	-0.780550	-7.133795	47.966194
30254	1.219873	-0.106924	9.695881	-0.014376	0.022179	-0.039821	1.000000	-0.000114	0.000060	0.000032	-0.789359	-7.126933	47.969149
30255	1.209132	-0.111896	9.709696	-0.019350	0.011568	-0.027382	1.000000	-0.000106	0.000064	0.000025	-0.796919	-7.119875	47.971227
30256	1.223468	-0.089688	9.704736	-0.025660	0.039080	-0.030835	1.000000	-0.000098	0.000068	0.000035	-0.802179	-7.111782	47.974565
30257	1.204283	-0.102508	9.711041	-0.029630	0.017408	-0.026783	1.000000	-0.000113	0.000053	0.000028	-0.809987	-7.106330	47.976904
30258	1.220024	-0.087694	9.712412	-0.029958	0.040323	-0.023684	1.000000	-0.000097	0.000061	0.000032	-0.813403	-7.097983	47.980064
30259	1.220275	-0.097122	9.718853	-0.023280	0.034955	-0.017135	1.000000	-0.000112	0.000039	0.000022	-0.818720	-7.093095	47.981796
30260	1.220536	-0.104273	9.697739	-0.015505	0.033244	-0.037956	1.000000	-0.000087	0.000045	0.000049	-0.820533	-7.086235	47.987187
30261	1.207606	-0.095449	9.712620	-0.032112	0.029547	-0.024914	1.000000	-0.000106	0.000057	0.000021	-0.826363	-7.081000	47.988377
30262	1.226927	-0.101529	9.719251	-0.015069	0.040197	-0.015869	1.000000	-0.000105	0.000060	0.000032	-0.829040	-7.075089	47.990787
30263	1.223336	-0.090095	9.720484	-0.025894	0.046036	-0.015255	1.000000	-0.000106	0.000064	0.000025	-0.831915	-7.070376	47.991930
30264	1.212344	-0.091595	9.692998	-0.029141	0.040107	-0.043864	1.000000	-0.000098	0.000064	0.000025	-0.833392	-7.064789	47.993470
30265	1.220947	-0.093048	9.706972	-0.023078	0.045405	-0.028921	1.000000	-0.000105	0.000047	0.000025	-0.835440	-7.058769	47.996052
30266	1.209056	-0.091733	9.728207	-0.033671	0.036562	-0.009332	1.000000	-0.000107	0.000074	0.000021	-0.837535	-7.052878	47.997122
30267	1.210279	-0.106359	9.713445	-0.020227	0.029462	-0.023621	1.000000	-0.000112	0.000039	0.000022	-0.838273	-7.050681	47.998334
30268	1.216516	-0.092199	9.700987	-0.025306	0.045899	-0.035428	1.000000	-0.000104	0.000058	0.000056	-0.842736	-7.043171	48.004288
30269	1.215449	-0.096574	9.728643	-0.025458	0.041768	-0.008059	1.000000	-0.000107	0.000063	0.000008	-0.850422	-7.035264	48.004134
30270	1.213068	-0.091427	9.722445	-0.029991	0.044973	-0.014580	1.000000	-0.000113	0.000056	0.000039	-0.853722	-7.030065	48.007687
30271	1.221501	-0.090913	9.708902	-0.023590	0.053500	-0.026999	1.000000	-0.000114	0.000060	0.000032	-0.857418	-7.026486	48.009518
30272	1.222706	-0.106680	9.707902	-0.011397	0.044063	-0.027613	1.000000	-0.000106	0.000060	0.000032	-0.859304	-7.027568	48.010143
30273	1.218198	-0.089093	9.716575	-0.027889	0.052029	-0.019818	1.000000	-0.000112	0.000039	0.000022	-0.858628	-7.026573	48.011505
30274	1.238799	-0.101317	9.715765	-0.005042	0.059042	-0.017920	1.000000	-0.000089	0.000065	0.000025	-0.856856	-7.025400	48.012256
30275	1.228076	-0.107245	9.743315	-0.009710	0.045611	0.008192	1.000000	-0.000105	0.000057	0.000039	-0.857701	-7.020420	48.016230
