// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.4.0
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw
59284	9.808201	-1.250803	0.579014	0.000000	-0.000000	0.091886	1.000000	0.000071	0.000076	0.000088	-65.177162	-82.007159	60.209548
59285	9.803588	-1.250280	0.601728	-0.023094	0.002133	0.088579	1.000000	0.000082	0.000050	0.000099	-65.165010	-81.994436	60.206783
59286	9.814055	-1.247496	0.595831	-0.014800	0.007028	0.098249	1.000000	0.000071	0.000071	0.000099	-65.133387	-81.982604	60.190795
59287	9.818943	-1.252583	0.589818	-0.007191	0.003853	0.103382	1.000000	0.000086	0.000065	0.000086	-65.108309	-81.969485	60.170526
59288	9.807362	-1.246296	0.592727	-0.008660	0.010213	0.091289	1.000000	0.000083	0.000072	0.000083	-65.070484	-81.958068	60.144952
59289	9.807051	-1.248011	0.594260	-0.008616	0.010178	0.091289	1.000000	0.000074	0.000065	0.000102	-65.047002	-81.944436	60.129857
59290	9.806718	-1.249859	0.595880	-0.008555	0.010038	0.091290	1.000000	0.000076	0.000082	0.000096	-65.006254	-81.931050	60.099352
59291	9.811980	-1.243711	0.597727	-0.007686	0.018369	0.095827	1.000000	0.000067	0.000061	0.000101	-64.979266	-81.918685	60.084498
59292	9.806439	-1.242263	0.606810	-0.015168	0.021512	0.090695	1.000000	0.000066	0.000079	0.000104	-64.940476	-81.904923	60.054849
59293	9.805212	-1.243129	0.594730	-0.001400	0.020835	0.088869	1.000000	0.000098	0.000069	0.000105	-64.903042	-81.892551	60.032989
59294	9.821756	-1.244908	0.595191	0.001182	0.022568	0.105499	1.000000	0.000074	0.000065	0.000102	-64.863079	-81.879829	60.003004
59295	9.811011	-1.240120	0.611685	-0.013668	0.029049	0.095237	1.000000	0.000064	0.000062	0.000110	-64.830147	-81.865852	59.975133
59296	9.809872	-1.264823	0.597613	0.000053	0.004477	0.096424	1.000000	0.000068	0.000078	0.000096	-64.784164	-81.854866	59.938360
59297	9.809066	-1.254209	0.593300	0.006893	0.015580	0.094004	1.000000	0.000081	0.000068	0.000102	-64.748016	-81.844242	59.914758
59298	9.803514	-1.252791	0.602390	-0.000616	0.018335	0.088874	1.000000	0.000079	0.000070	0.000110	-64.710740	-81.832389	59.887939
59299	9.814013	-1.249909	0.596662	0.007795	0.022986	0.098546	1.000000	0.000079	0.000066	0.000074	-64.665476	-81.824173	59.851419
59300	9.824926	-1.235651	0.598599	0.009094	0.039441	0.107630	1.000000	0.000057	0.000059	0.000109	-64.646739	-81.814521	59.842147
59301	9.813794	-1.241986	0.607440	0.000716	0.033389	0.097961	1.000000	0.000078	0.000085	0.000077	-64.586564	-81.806541	59.792215
59302	9.817838	-1.245952	0.587735	0.021641	0.028920	0.101266	1.000000	0.000089	0.000053	0.000099	-64.567545	-81.798842	59.781842
59303	9.817981	-1.260179	0.595050	0.014264	0.016352	0.103684	1.000000	0.000067	0.000066	0.000090	-64.545386	-81.791912	59.763005
59304	9.805947	-1.241592	0.591992	0.019468	0.033504	0.089186	1.000000	0.000068	0.000078	0.000096	-64.497863	-81.784202	59.729880
59305	9.816453	-1.238762	0.586312	0.027143	0.037989	0.098865	1.000000	0.000067	0.000066	0.000090	-64.484110	-81.777324	59.713672
59306	9.816158	-1.240371	0.587850	0.025616	0.036970	0.098873	1.000000	0.000083	0.000072	0.000083	-64.485856	-81.774930	59.724102
59307	9.799392	-1.254689	0.596449	0.016339	0.022243	0.084652	1.000000	0.000069	0.000073	0.000107	-64.448951	-81.765129	59.687289
59308	9.815934	-1.256524	0.596960	0.017255	0.023416	0.101289	1.000000	0.000064	0.000068	0.000098	-64.456527	-81.760207	59.697377
59309	9.819979	-1.260635	0.577277	0.037639	0.018740	0.104604	1.000000	0.000071	0.000076	0.000088	-64.434388	-81.755205	59.685317
59310	9.821746	-1.253188	0.614131	0.003180	0.030339	0.107665	1.000000	0.000072	0.000066	0.000109	-64.406423	-81.745841	59.662120
59311	9.808483	-1.244987	0.589481	0.028105	0.035493	0.091946	1.000000	0.000083	0.000072	0.000082	-64.391054	-81.740864	59.650645
59312	9.820267	-1.255614	0.603536	0.014473	0.028311	0.105854	1.000000	0.000071	0.000071	0.000098	-64.398023	-81.736010	59.664388
59313	9.802215	-1.256494	0.592390	0.025034	0.025078	0.087407	1.000000	0.000071	0.000071	0.000098	-64.385597	-81.729336	59.656683
59314	9.818769	-1.258296	0.592842	0.026628	0.026452	0.104045	1.000000	0.000067	0.000061	0.000101	-64.377663	-81.721194	59.642596
59315	9.813247	-1.256552	0.601909	0.018231	0.028939	0.098916	1.000000	0.000081	0.000078	0.000080	-64.349736	-81.716017	59.625064
59316	9.812545	-1.245597	0.597618	0.023367	0.039986	0.096528	1.000000	0.000083	0.000072	0.000082	-64.365400	-81.712545	59.642008
59317	9.805798	-1.254057	0.585135	0.035294	0.030381	0.090168	1.000000	0.000069	0.000064	0.000082	-64.359969	-81.707425	59.635587
59318	9.811138	-1.247721	0.586830	0.035647	0.038094	0.094728	1.000000	0.000077	0.000063	0.000093	-64.333944	-81.700293	59.618422
59319	9.810830	-1.249434	0.588320	0.034299	0.037420	0.094735	1.000000	0.000074	0.000070	0.000090	-64.340983	-81.694810	59.623978
59320	9.817804	-1.245243	0.617522	0.006960	0.045787	0.102912	1.000000	0.000069	0.000059	0.000093	-64.332402	-81.688184	59.617363
59321	9.815408	-1.256493	0.583716	0.039382	0.032415	0.099887	1.000000	0.000079	0.000070	0.000109	-64.356306	-81.682871	59.652254
59322	9.821533	-1.251452	0.599226	0.025915	0.040414	0.106255	1.000000	0.000077	0.000063	0.000093	-64.335387	-81.676020	59.639772
59323	9.804330	-1.253320	0.601622	0.021584	0.037737	0.089624	1.000000	0.000067	0.000061	0.000101	-64.381147	-81.671805	59.683218
59324	9.813235	-1.248633	0.568308	0.055081	0.041919	0.095735	1.000000	0.000064	0.000068	0.000098	-64.429071	-81.667229	59.722028
59325	9.797649	-1.252624	0.598164	0.022951	0.039971	0.082699	1.000000	0.000070	0.000054	0.000104	-64.499193	-81.663362	59.783384
59326	9.808592	-1.238757	0.600116	0.020961	0.056587	0.091832	1.000000	0.000067	0.000075	0.000114	-64.590823	-81.661327	59.881390
59327	9.813448	-1.244328	0.594126	0.027279	0.052447	0.096984	1.000000	0.000065	0.000063	0.000109	-64.604812	-81.654262	59.897284
59328	9.807459	-1.254217	0.595413	0.025029	0.043230	0.092429	1.000000	0.000069	0.000078	0.000095	-64.613653	-81.647940	59.902150
59329	9.812353	-1.259414	0.589545	0.030844	0.038890	0.097585	1.000000	0.000074	0.000070	0.000090	-64.628286	-81.645057	59.934301
59330	9.811245	-1.260087	0.577304	0.042336	0.038046	0.095814	1.000000	0.000067	0.000066	0.000090	-64.670555	-81.641744	59.973282
59331	9.812168	-1.251476	0.600221	0.020383	0.049880	0.097014	1.000000	0.000067	0.000061	0.000101	-64.696186	-81.634751	59.988016
