// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.4.0
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw
64856	9.640391	-0.468374	-2.073658	-0.000000	0.000000	0.059322	1.000000	-0.000012	0.000009	0.000008	-167.274111	-77.563817	152.189377
64857	9.610058	-0.482111	-2.082801	0.000000	0.000000	0.032297	1.000000	-0.000007	0.000013	0.000019	-166.972208	-77.457621	152.322517
64858	9.615086	-0.471274	-2.114775	0.037573	-0.006198	0.043417	1.000000	-0.000003	0.000021	0.000016	-167.114303	-77.512368	152.244954
64859	9.627855	-0.470335	-2.093564	0.015755	0.001339	0.051367	1.000000	-0.000011	0.000021	0.000012	-167.107136	-77.514357	152.236327
64860	9.597551	-0.484163	-2.102554	0.026910	-0.016976	0.024341	1.000000	-0.000009	0.000018	0.000025	-167.091463	-77.515662	152.219011
64861	9.627964	-0.470919	-2.092931	0.015789	0.001410	0.051367	1.000000	-0.000022	0.000013	0.000010	-167.087492	-77.516817	152.212319
64862	9.640681	-0.469972	-2.071951	-0.006041	0.008951	0.059316	1.000000	-0.000011	0.000005	0.000021	-167.077475	-77.516820	152.200813
64863	9.615341	-0.472647	-2.113307	0.037596	-0.006124	0.043417	1.000000	0.000010	0.000024	0.000012	-167.067385	-77.519226	152.191708
64864	9.620386	-0.461805	-2.145244	0.070089	-0.002809	0.054544	1.000000	-0.000031	0.000014	0.000025	-167.056974	-77.519992	152.177435
64865	9.629753	-0.449911	-2.065505	-0.003708	0.029484	0.046318	1.000000	-0.000007	0.000013	0.000019	-167.046795	-77.520979	152.166198
64866	9.615486	-0.473628	-2.112429	0.037509	-0.006134	0.043417	1.000000	-0.000017	0.000017	0.000021	-167.037426	-77.522092	152.154561
64867	9.640911	-0.471667	-2.070494	-0.006128	0.008940	0.059316	1.000000	0.000001	0.000013	0.000023	-167.024141	-77.522994	152.141050
