File:,"C:\data\20201113 cirris\Logger_xsensor_pneu_3cm_v1_05.XSN"
Frame,Date,Time,Units,Threshold,Sensor,Rows,Columns,Average Pressure,Peak Pressure,Contact Area (cm²),Est. Load (N),Std Dev.,COP Row,COP Column,Frame Notes
1,"2020 Nov 13","14:46:35",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"70,38","256,0","1735,48","1628,45","38,91","13,35","18,98",""
2,"2020 Nov 13","14:46:35",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"70,44","256,0","1735,48","1629,9","38,92","13,35","18,99",""
3,"2020 Nov 13","14:46:35",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"70,46","256,0","1735,48","1630,3","38,91","13,36","18,98",""
4,"2020 Nov 13","14:46:35",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"70,47","256,0","1735,48","1630,49","38,92","13,36","18,99",""
5,"2020 Nov 13","14:46:35",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"70,49","256,0","1735,48","1630,93","38,91","13,36","18,98",""
6,"2020 Nov 13","14:46:35",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"70,45","256,0","1735,48","1630,14","38,92","13,35","18,99",""
7,"2020 Nov 13","14:46:35",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"70,42","256,0","1735,48","1629,34","38,91","13,35","18,98",""
8,"2020 Nov 13","14:46:35",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"70,45","256,0","1735,48","1629,95","38,92","13,35","18,99",""
9,"2020 Nov 13","14:46:35",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"70,48","256,0","1735,48","1630,67","38,93","13,35","18,98",""
10,"2020 Nov 13","14:46:35",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"70,41","256,0","1735,48","1629,2","38,9","13,35","18,98",""
11,"2020 Nov 13","14:46:35",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"70,44","256,0","1735,48","1629,75","38,91","13,35","18,99",""
12,"2020 Nov 13","14:46:35",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"70,45","256,0","1735,48","1630,12","38,92","13,35","18,99",""
13,"2020 Nov 13","14:46:35",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"70,51","256,0","1735,48","1631,41","38,93","13,36","18,98",""
14,"2020 Nov 13","14:46:35",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"70,42","256,0","1735,48","1629,45","38,9","13,35","18,98",""
15,"2020 Nov 13","14:46:35",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"70,4","256,0","1735,48","1628,8","38,9","13,35","18,98",""
16,"2020 Nov 13","14:46:35",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"70,39","256,0","1735,48","1628,62","38,89","13,35","18,98",""
17,"2020 Nov 13","14:46:35",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"70,38","256,0","1735,48","1628,55","38,9","13,35","18,99",""
18,"2020 Nov 13","14:46:35",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"70,4","256,0","1735,48","1628,97","38,91","13,35","18,99",""
19,"2020 Nov 13","14:46:35",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"70,42","256,0","1735,48","1629,46","38,9","13,35","18,98",""
20,"2020 Nov 13","14:46:35",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"70,39","256,0","1737,1","1630,2","38,95","13,35","18,98",""
21,"2020 Nov 13","14:46:35",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"70,39","256,0","1737,1","1630,28","38,95","13,36","18,98",""
22,"2020 Nov 13","14:46:35",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"70,41","256,0","1735,48","1629,16","38,92","13,35","18,99",""
23,"2020 Nov 13","14:46:35",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"70,42","256,0","1735,48","1629,31","38,94","13,35","18,98",""
24,"2020 Nov 13","14:46:35",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"70,44","256,0","1733,87","1628,38","38,98","13,34","18,99",""
25,"2020 Nov 13","14:46:35",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"70,45","256,0","1733,87","1628,61","39,03","13,33","18,99",""
26,"2020 Nov 13","14:46:35",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"70,31","256,0","1735,48","1626,77","39,2","13,31","19,00",""
27,"2020 Nov 13","14:46:35",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"70,3","256,0","1733,87","1625,09","39,27","13,29","19,00",""
28,"2020 Nov 13","14:46:35",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"69,94","256,0","1735,48","1618,2","39,65","13,23","19,00",""
29,"2020 Nov 13","14:46:35",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"69,66","256,0","1735,48","1611,74","39,73","13,20","19,02",""
30,"2020 Nov 13","14:46:35",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"69,52","256,0","1737,1","1609,93","39,72","13,19","19,03",""
31,"2020 Nov 13","14:46:35",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"69,55","256,0","1735,48","1609,17","39,55","13,21","19,03",""
32,"2020 Nov 13","14:46:35",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"69,6","256,0","1733,87","1609,0","39,44","13,22","19,03",""
33,"2020 Nov 13","14:46:35",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"69,54","256,0","1735,48","1608,98","39,4","13,23","19,03",""
34,"2020 Nov 13","14:46:36",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"69,68","256,0","1735,48","1612,35","39,35","13,24","19,03",""
35,"2020 Nov 13","14:46:36",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"69,7","256,0","1735,48","1612,64","39,38","13,24","19,02",""
36,"2020 Nov 13","14:46:36",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"69,55","256,0","1735,48","1609,22","39,44","13,22","19,03",""
37,"2020 Nov 13","14:46:36",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"69,53","256,0","1735,48","1608,67","39,48","13,22","19,03",""
38,"2020 Nov 13","14:46:36",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"69,5","256,0","1733,87","1606,64","39,52","13,20","19,03",""
39,"2020 Nov 13","14:46:36",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"69,53","256,0","1733,87","1607,36","39,56","13,20","19,03",""
40,"2020 Nov 13","14:46:36",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"69,52","256,0","1735,48","1608,57","39,62","13,20","19,03",""
41,"2020 Nov 13","14:46:36",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"69,68","256,0","1733,87","1610,85","39,56","13,21","19,02",""
42,"2020 Nov 13","14:46:36",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"69,7","256,0","1735,48","1612,6","39,51","13,23","19,04",""
43,"2020 Nov 13","14:46:36",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"69,82","256,0","1735,48","1615,51","39,45","13,24","19,02",""
44,"2020 Nov 13","14:46:36",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"69,83","256,0","1733,87","1614,17","39,43","13,24","19,02",""
45,"2020 Nov 13","14:46:36",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"69,82","256,0","1733,87","1613,95","39,51","13,23","19,02",""
46,"2020 Nov 13","14:46:36",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"69,79","256,0","1733,87","1613,18","39,54","13,22","19,02",""
47,"2020 Nov 13","14:46:36",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"69,66","256,0","1737,1","1613,2","39,65","13,21","19,02",""
48,"2020 Nov 13","14:46:36",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"69,68","256,0","1733,87","1610,75","39,57","13,21","19,02",""
49,"2020 Nov 13","14:46:36",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"69,6","256,0","1735,48","1610,32","39,56","13,21","19,03",""
50,"2020 Nov 13","14:46:36",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"69,61","256,0","1735,48","1610,65","39,46","13,22","19,03",""
51,"2020 Nov 13","14:46:36",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"69,61","256,0","1737,1","1612,07","39,5","13,23","19,03",""
