File:,"C:\data\20201120 cirris\Logger_xsensor_pneu_dda_v3_03.XSN"
Frame,Date,Time,Units,Threshold,Sensor,Rows,Columns,Average Pressure,Peak Pressure,Contact Area (cm²),Est. Load (N),Std Dev.,COP Row,COP Column,Frame Notes
1,"2020 Nov 20","18:11:07",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,46","256,0","2061,29","2073,77","48,02","15,89","18,31",""
2,"2020 Nov 20","18:11:07",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,48","256,0","2061,29","2074,42","48,03","15,89","18,31",""
3,"2020 Nov 20","18:11:07",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,41","256,0","2061,29","2072,32","47,98","15,89","18,31",""
4,"2020 Nov 20","18:11:07",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,44","256,0","2061,29","2073,14","47,99","15,89","18,31",""
5,"2020 Nov 20","18:11:07",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,36","256,0","2061,29","2071,04","47,96","15,89","18,31",""
6,"2020 Nov 20","18:11:07",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,34","256,0","2061,29","2070,51","47,96","15,89","18,30",""
7,"2020 Nov 20","18:11:07",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,38","256,0","2061,29","2071,68","47,97","15,89","18,31",""
8,"2020 Nov 20","18:11:07",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,28","256,0","2061,29","2068,89","47,92","15,89","18,31",""
9,"2020 Nov 20","18:11:07",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,38","256,0","2061,29","2071,44","47,98","15,89","18,31",""
10,"2020 Nov 20","18:11:07",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,41","256,0","2061,29","2072,34","48,0","15,88","18,30",""
11,"2020 Nov 20","18:11:07",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,36","256,0","2061,29","2070,92","47,97","15,88","18,30",""
12,"2020 Nov 20","18:11:07",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,32","256,0","2061,29","2069,84","47,93","15,89","18,31",""
13,"2020 Nov 20","18:11:07",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,35","256,0","2061,29","2070,75","47,93","15,89","18,30",""
14,"2020 Nov 20","18:11:07",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,34","256,0","2061,29","2070,43","47,94","15,89","18,31",""
15,"2020 Nov 20","18:11:07",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,37","256,0","2061,29","2071,34","47,96","15,89","18,31",""
16,"2020 Nov 20","18:11:07",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,37","256,0","2061,29","2071,33","47,97","15,89","18,31",""
17,"2020 Nov 20","18:11:07",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,42","256,0","2061,29","2072,66","48,01","15,89","18,31",""
18,"2020 Nov 20","18:11:07",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,38","256,0","2061,29","2071,56","47,97","15,89","18,31",""
19,"2020 Nov 20","18:11:07",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,41","256,0","2061,29","2072,39","47,99","15,89","18,31",""
20,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,39","256,0","2061,29","2071,76","47,97","15,89","18,31",""
21,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,38","256,0","2061,29","2071,68","47,97","15,89","18,30",""
22,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,32","256,0","2061,29","2069,92","47,94","15,89","18,31",""
23,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,36","256,0","2061,29","2071,11","47,94","15,89","18,31",""
24,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,32","256,0","2061,29","2070,0","47,94","15,89","18,31",""
25,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,32","256,0","2061,29","2070,0","47,94","15,89","18,31",""
26,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,31","256,0","2061,29","2069,55","47,94","15,89","18,30",""
27,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,35","256,0","2061,29","2070,74","47,93","15,89","18,30",""
28,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,29","256,0","2061,29","2069,12","47,93","15,89","18,31",""
29,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,28","256,0","2061,29","2068,69","47,89","15,89","18,31",""
30,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,26","256,0","2061,29","2068,2","47,89","15,89","18,31",""
31,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,33","256,0","2061,29","2070,32","47,95","15,89","18,31",""
32,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,33","256,0","2061,29","2070,19","47,94","15,89","18,30",""
33,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,35","256,0","2061,29","2070,62","47,97","15,89","18,31",""
34,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,4","256,0","2061,29","2072,18","47,97","15,89","18,31",""
35,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,3","256,0","2061,29","2069,24","47,92","15,89","18,31",""
36,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,25","256,0","2061,29","2068,01","47,89","15,89","18,30",""
37,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,31","256,0","2061,29","2069,62","47,92","15,89","18,30",""
38,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,29","256,0","2061,29","2069,19","47,92","15,89","18,31",""
39,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,28","256,0","2061,29","2068,84","47,91","15,89","18,31",""
40,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,33","256,0","2061,29","2070,05","47,95","15,89","18,30",""
41,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,29","256,0","2061,29","2069,07","47,92","15,89","18,31",""
42,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,29","256,0","2061,29","2069,06","47,93","15,89","18,31",""
43,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,32","256,0","2061,29","2069,92","47,93","15,89","18,31",""
44,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,31","256,0","2061,29","2069,7","47,95","15,89","18,31",""
45,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,34","256,0","2061,29","2070,5","47,96","15,89","18,31",""
46,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,33","256,0","2061,29","2070,15","47,95","15,89","18,31",""
47,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,33","256,0","2061,29","2070,26","47,95","15,89","18,31",""
48,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,32","256,0","2061,29","2069,98","47,94","15,89","18,31",""
49,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,31","256,0","2061,29","2069,5","47,93","15,89","18,30",""
50,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,28","256,0","2061,29","2068,71","47,9","15,89","18,30",""
51,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,31","256,0","2061,29","2069,51","47,93","15,89","18,31",""
52,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,36","256,0","2061,29","2070,9","47,94","15,89","18,31",""
53,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,35","256,0","2061,29","2070,79","47,93","15,89","18,30",""
54,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,26","256,0","2061,29","2068,36","47,89","15,89","18,31",""
55,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,32","256,0","2061,29","2069,98","47,93","15,89","18,31",""
56,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,38","256,0","2059,68","2069,96","47,93","15,89","18,31",""
57,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,3","256,0","2061,29","2069,35","47,92","15,89","18,30",""
58,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,28","256,0","2061,29","2068,79","47,9","15,89","18,31",""
59,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,3","256,0","2061,29","2069,25","47,92","15,89","18,31",""
60,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,33","256,0","2061,29","2070,07","47,94","15,89","18,31",""
61,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,32","256,0","2061,29","2069,99","47,95","15,89","18,31",""
62,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,31","256,0","2061,29","2069,51","47,93","15,89","18,31",""
63,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,31","256,0","2061,29","2069,61","47,93","15,89","18,31",""
64,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,25","256,0","2061,29","2067,94","47,9","15,89","18,31",""
65,"2020 Nov 20","18:11:08",mmHg,"5,0","LX100:36.36.02 S0465",36,36,"75,35","256,0","2061,29","2070,81","47,94","15,89","18,31",""
